combination,remark,count,mean_return2
201010-201101,loser,14,-0.34697551775369717
201010-201101,winner,14,-0.15079664772051585
201010-201101,winner - loser,-,0.19617887003318132
201011-201102,loser,14,-0.21029913780293233
201011-201102,winner,14,-0.10893212293115148
201011-201102,winner - loser,-,0.10136701487178085
201012-201103,loser,14,-0.2627743080083623
201012-201103,winner,14,-0.2539398285774642
201012-201103,winner - loser,-,0.008834479430898101
201110-201201,loser,14,0.012474213638393964
201110-201201,winner,14,0.16106791570451293
201110-201201,winner - loser,-,0.14859370206611897
201111-201202,loser,14,-0.14199502697949543
201111-201202,winner,14,-0.2507376662197137
201111-201202,winner - loser,-,-0.10874263924021829
201112-201203,loser,14,-0.034537717822603405
201112-201203,winner,14,-0.09211313194271042
201112-201203,winner - loser,-,-0.05757541412010702
201210-201301,loser,14,0.3121591771474549
201210-201301,winner,14,0.2149380736070177
201210-201301,winner - loser,-,-0.0972211035404372
201212-201303,loser,14,0.09008518277391787
201212-201303,winner,13,0.17936459399854582
201212-201303,winner - loser,-,0.08927941122462794
201310-201401,loser,14,0.03024911769017308
201310-201401,winner,13,0.12333722930242824
201310-201401,winner - loser,-,0.09308811161225516
201311-201402,loser,14,0.04499974914008174
201311-201402,winner,14,0.15301455768178035
201311-201402,winner - loser,-,0.1080148085416986
201312-201403,loser,14,0.056514010147697094
201312-201403,winner,14,0.13344309363536713
201312-201403,winner - loser,-,0.07692908348767004
