combination,remark,count,mean_return2
201001-201010,loser,14,-0.3311569866310687
201001-201010,winner,14,-0.1027726975225617
201001-201010,winner - loser,-,0.228384289108507
201002-201011,loser,14,-0.2330659795805102
201002-201011,winner,14,-0.060407718956112334
201002-201011,winner - loser,-,0.17265826062439787
201003-201012,loser,14,-0.2716579014612645
201003-201012,winner,14,-0.25679517043547334
201003-201012,winner - loser,-,0.014862731025791165
201004-201101,loser,14,-0.40494148318390566
201004-201101,winner,14,-0.2430465912226077
201004-201101,winner - loser,-,0.16189489196129797
201005-201102,loser,14,-0.37960390865421784
201005-201102,winner,14,-0.22593667274894721
201005-201102,winner - loser,-,0.15366723590527062
201006-201103,loser,14,-0.17045287874292434
201006-201103,winner,14,-0.06193822085065464
201006-201103,winner - loser,-,0.10851465789226969
201007-201104,loser,14,-0.13013023041425892
201007-201104,winner,14,-0.11380536635009553
201007-201104,winner - loser,-,0.01632486406416339
201008-201105,loser,14,-0.24445109420372385
201008-201105,winner,14,-0.2588253320940558
201008-201105,winner - loser,-,-0.014374237890331931
201009-201106,loser,14,-0.295847284357244
201009-201106,winner,14,-0.29487030592984226
201009-201106,winner - loser,-,0.0009769784274017423
201010-201107,loser,14,-0.2497864088105732
201010-201107,winner,14,-0.25462506799784107
201010-201107,winner - loser,-,-0.004838659187267863
201011-201108,loser,14,-0.2453453276313522
201011-201108,winner,14,-0.24505952753082147
201011-201108,winner - loser,-,0.00028580010053072535
201012-201109,loser,14,-0.15843606320123885
201012-201109,winner,14,-0.09129584484484494
201012-201109,winner - loser,-,0.0671402183563939
201101-201110,loser,14,-0.15592814358164553
201101-201110,winner,14,0.2791922107308454
201101-201110,winner - loser,-,0.4351203543124909
201102-201111,loser,14,-0.29669112271128845
201102-201111,winner,14,0.06338631091838405
201102-201111,winner - loser,-,0.3600774336296725
201103-201112,loser,14,-0.13159635018321975
201103-201112,winner,14,0.16869002388551796
201103-201112,winner - loser,-,0.3002863740687377
201104-201201,loser,14,-0.06626240246204482
201104-201201,winner,14,0.23371704735520762
201104-201201,winner - loser,-,0.29997944981725244
201105-201202,loser,14,-0.0906189075118111
201105-201202,winner,14,0.16243601108872047
201105-201202,winner - loser,-,0.2530549186005316
201106-201203,loser,14,-0.21368085486920999
