stock_id,start_date,end_date,SD_close,ED_close,combination,return,RT_%_Rank,remark,RT_rank,start_date2,SD_close2,end_date2,ED_close2,return2
1216,2014-12-01,2015-08-31,33.97,42.02,201412-201509,0.23697380041212848,46.81969703096135,winner,8.0,2015-09-01,40.28,2016-05-31,44.99,0.1169314796425025
1476,2014-12-01,2015-08-31,235.47,367.03,201412-201509,0.5587123625090243,63.38990196385169,winner,2.0,2015-09-01,367.4,2016-05-31,264.37,-0.2804300489929232
1477,2014-12-01,2015-08-31,81.95,152.38,201412-201509,0.8594264795607076,78.87730426118308,winner,1.0,2015-09-01,153.21,2016-05-31,90.37,-0.4101559950394883
1590,2014-12-01,2015-08-31,220.61,130.77,201412-201509,-0.40723448619736186,13.641630780480018,loser,135.0,2015-09-01,132.88,2016-05-31,184.35,0.3873419626730885
1802,2014-12-01,2015-08-31,19.85,11.18,201412-201509,-0.43677581863979853,12.120190734961334,loser,141.0,2015-09-01,10.71,2016-05-31,11.55,0.07843137254901959
2379,2014-12-01,2015-08-31,63.32,35.9,201412-201509,-0.4330385344283007,12.31266864271777,loser,140.0,2015-09-01,36.39,2016-05-31,60.47,0.6617202528167079
2408,2014-12-01,2015-08-31,45.88,26.15,201412-201509,-0.43003487358326076,12.46736342169245,loser,139.0,2015-09-01,26.25,2016-05-31,26.68,0.01638095238095237
2448,2014-12-01,2015-08-31,55.87,25.43,201412-201509,-0.5448362269554322,6.554855018745259,loser,145.0,2015-09-01,26.11,2016-05-31,19.53,-0.25201072386058976
2454,2014-12-01,2015-08-31,273.19,156.98,201412-201509,-0.4253816025476775,12.707016555483344,loser,137.0,2015-09-01,153.23,2016-05-31,137.59,-0.10206878548587082
2474,2014-12-01,2015-08-31,160.87,205.94,201412-201509,0.28016410766457384,49.04408765925037,winner,6.0,2015-09-01,201.29,2016-05-31,153.84,-0.23572954443837246
2498,2014-12-01,2015-08-31,133.6,45.54,201412-201509,-0.6591317365269461,0.6683986233233711,loser,148.0,2015-09-01,45.54,2016-05-31,84.06,0.8458498023715416
2847,2014-12-01,2015-08-31,9.54,13.7,201412-201509,0.43605870020964366,57.07298332399595,winner,4.0,2015-09-01,13.5,,,
2849,2014-12-01,2015-08-31,8.59,11.28,201412-201509,0.3131548311990686,50.74317851826363,winner,5.0,2015-09-01,11.75,2016-05-31,9.69,-0.17531914893617026
2867,2014-12-01,2015-08-31,10.08,11.87,201412-201509,0.177579365079365,43.760760113599254,winner,12.0,2015-09-01,11.7,2016-05-31,10.38,-0.1128205128205127
2881,2014-12-01,2015-08-31,25.0,29.74,201412-201509,0.18959999999999994,44.37984780629053,winner,10.0,2015-09-01,28.09,2016-05-31,20.48,-0.2709149163403346
3008,2014-12-01,2015-08-31,1880.28,2344.01,201412-201509,0.24662816176314178,47.31691671466929,winner,7.0,2015-09-01,2312.97,2016-05-31,2111.16,-0.08725145592031024
3037,2014-12-01,2015-08-31,17.72,10.26,201412-201509,-0.4209932279909706,12.933026969817874,loser,136.0,2015-09-01,10.42,2016-05-31,11.31,0.08541266794625725
3189,2014-12-01,2015-08-31,79.25,43.99,201412-201509,-0.44492113564668767,11.700689972703119,loser,142.0,2015-09-01,43.53,2016-05-31,54.15,0.24396967608545825
3474,2014-12-01,2015-08-31,47.25,19.6,201412-201509,-0.5851851851851851,4.476799773088125,loser,146.0,2015-09-01,19.75,2016-05-31,29.15,0.4759493670886075
3576,2014-12-01,2015-08-31,45.78,26.24,201412-201509,-0.4268239405854085,12.632733147514024,loser,138.0,2015-09-01,28.21,2016-05-31,30.93,0.09641970932293509
3673,2014-12-01,2015-08-31,172.95,71.19,201412-201509,-0.5883781439722463,4.312355756495726,loser,147.0,2015-09-01,71.63,2016-05-31,57.59,-0.19600725952813058
3682,2014-12-01,2015-08-31,27.15,13.56,201412-201509,-0.5005524861878453,8.835559746619673,loser,144.0,2015-09-01,13.24,2016-05-31,16.01,0.2092145015105741
4938,2014-12-01,2015-08-31,38.6,46.51,201412-201509,0.20492227979274602,45.168977074943214,winner,9.0,2015-09-01,46.07,2016-05-31,37.51,-0.18580421098328634
4958,2014-12-01,2015-08-31,51.19,59.29,201412-201509,0.1582340300840008,42.76443513694923,winner,13.0,2015-09-01,58.65,2016-05-31,39.44,-0.327536231884058
6116,2014-12-01,2015-08-31,5.59,2.94,201412-201509,-0.4740608228980322,10.19993548965892,loser,143.0,2015-09-01,3.16,2016-05-31,2.92,-0.07594936708860765
6286,2014-12-01,2015-08-31,146.33,168.5,201412-201509,0.1515068680379962,42.41797230391933,winner,14.0,2015-09-01,168.5,,,
9904,2014-12-01,2015-08-31,24.94,36.81,201412-201509,0.47594226142742585,59.12706965584541,winner,3.0,2015-09-01,35.2,2016-05-31,30.62,-0.1301136363636364
9917,2014-12-01,2015-08-31,49.35,58.31,201412-201509,0.18156028368794327,43.96578569938972,winner,11.0,2015-09-01,57.6,2016-05-31,57.6,0.0
