stock_id,start_date,end_date,SD_close,ED_close,combination,return_rank
1101,2010-01-04,2010-03-31,12.18,10.64,201001-201004,
1102,2010-01-04,2010-03-31,13.87,12.44,201001-201004,
1104,2010-01-04,2010-03-31,7.49,6.62,201001-201004,
1201,2010-01-04,2010-03-31,34.23,29.53,201001-201004,
1210,2010-01-04,2010-03-31,10.62,9.9,201001-201004,
1215,2010-01-04,2010-03-31,6.0,5.6,201001-201004,
1216,2010-01-04,2010-03-31,16.67,15.49,201001-201004,
1227,2010-01-04,2010-03-31,10.03,13.26,201001-201004,
1229,2010-01-04,2010-03-31,3.95,3.87,201001-201004,
1232,2010-01-04,2010-03-31,16.82,18.1,201001-201004,
1234,2010-01-04,2010-03-31,12.27,17.29,201001-201004,
1301,2010-01-04,2010-03-31,33.48,34.98,201001-201004,
1303,2010-01-04,2010-03-31,29.66,33.37,201001-201004,
1304,2010-01-04,2010-03-31,8.12,8.4,201001-201004,
1307,2010-01-04,2010-03-31,14.6,14.58,201001-201004,
1308,2010-01-04,2010-03-31,7.51,8.14,201001-201004,
1312,2010-01-04,2010-03-31,9.72,9.1,201001-201004,
1313,2010-01-04,2010-03-31,8.09,8.11,201001-201004,
1314,2010-01-04,2010-03-31,7.15,7.74,201001-201004,
1319,2010-01-04,2010-03-31,31.61,32.1,201001-201004,
1326,2010-01-04,2010-03-31,35.16,37.92,201001-201004,
1402,2010-01-04,2010-03-31,18.24,15.99,201001-201004,
1409,2010-01-04,2010-03-31,6.13,5.98,201001-201004,
1434,2010-01-04,2010-03-31,13.07,12.95,201001-201004,
1440,2010-01-04,2010-03-31,8.47,8.03,201001-201004,
1476,2010-01-04,2010-03-31,10.63,9.9,201001-201004,
1477,2010-01-04,2010-03-31,22.93,27.38,201001-201004,
1503,2010-01-04,2010-03-31,26.6,24.68,201001-201004,
1504,2010-01-04,2010-03-31,7.71,7.63,201001-201004,
1507,2010-01-04,2010-03-31,15.31,15.82,201001-201004,
1532,2010-01-04,2010-03-31,15.98,15.14,201001-201004,
1536,2010-01-04,2010-03-31,9.92,10.95,201001-201004,
1605,2010-01-04,2010-03-31,8.14,7.98,201001-201004,
1702,2010-01-04,2010-03-31,16.3,19.34,201001-201004,
1704,2010-01-04,2010-03-31,24.92,24.27,201001-201004,
1707,2010-01-04,2010-03-31,26.18,25.53,201001-201004,
1710,2010-01-04,2010-03-31,13.51,14.12,201001-201004,
1714,2010-01-04,2010-03-31,8.53,8.48,201001-201004,
1717,2010-01-04,2010-03-31,13.99,13.49,201001-201004,
1718,2010-01-04,2010-03-31,5.48,6.41,201001-201004,
1722,2010-01-04,2010-03-31,62.82,55.93,201001-201004,
1723,2010-01-04,2010-03-31,44.3,45.99,201001-201004,
1736,2010-01-04,2010-03-31,24.84,22.27,201001-201004,
1795,2010-01-04,2010-03-31,27.27,27.43,201001-201004,
1802,2010-01-04,2010-03-31,17.97,23.29,201001-201004,
1808,2010-01-04,2010-03-31,2.04,2.13,201001-201004,
1903,2010-01-04,2010-03-31,81.0,72.0,201001-201004,
1904,2010-01-04,2010-03-31,6.26,6.19,201001-201004,
1907,2010-01-04,2010-03-31,7.57,7.12,201001-201004,
1909,2010-01-04,2010-03-31,5.57,5.44,201001-201004,
2002,2010-01-04,2010-03-31,17.88,17.23,201001-201004,
2006,2010-01-04,2010-03-31,24.39,24.88,201001-201004,
2014,2010-01-04,2010-03-31,14.37,12.03,201001-201004,
2015,2010-01-04,2010-03-31,22.56,21.83,201001-201004,
2023,2010-01-04,2010-03-31,7.29,7.18,201001-201004,
2027,2010-01-04,2010-03-31,7.23,6.78,201001-201004,
2032,2010-01-04,2010-03-31,14.27,15.58,201001-201004,
2049,2010-01-04,2010-03-31,23.25,31.86,201001-201004,
2059,2010-01-04,2010-03-31,118.78,127.83,201001-201004,
2101,2010-01-04,2010-03-31,26.65,29.08,201001-201004,
2103,2010-01-04,2010-03-31,15.92,16.94,201001-201004,
2104,2010-01-04,2010-03-31,13.49,12.58,201001-201004,
2105,2010-01-04,2010-03-31,24.61,23.14,201001-201004,
2106,2010-01-04,2010-03-31,12.98,12.16,201001-201004,
2107,2010-01-04,2010-03-31,13.78,13.19,201001-201004,
2108,2010-01-04,2010-03-31,7.72,7.44,201001-201004,
2201,2010-01-04,2010-03-31,47.56,43.37,201001-201004,
2204,2010-01-04,2010-03-31,24.58,23.92,201001-201004,
2206,2010-01-04,2010-03-31,9.16,8.48,201001-201004,
2207,2010-01-04,2010-03-31,47.63,43.64,201001-201004,
2208,2010-01-04,2010-03-31,49.54,44.05,201001-201004,
2227,2010-01-04,2010-03-31,31.56,31.98,201001-201004,
2231,2010-01-04,2010-03-31,17.05,19.43,201001-201004,
2301,2010-01-04,2010-03-31,17.81,15.84,201001-201004,
2303,2010-01-04,2010-03-31,8.03,7.96,201001-201004,
2308,2010-01-04,2010-03-31,60.16,60.16,201001-201004,
2311,2010-01-04,2010-03-31,15.81,15.7,201001-201004,
2312,2010-01-04,2010-03-31,7.38,7.31,201001-201004,
2313,2010-01-04,2010-03-31,6.6,5.39,201001-201004,
2315,2010-01-04,2010-03-31,15.79,13.77,201001-201004,
2317,2010-01-04,2010-03-31,68.8,62.45,201001-201004,
2323,2010-01-04,2010-03-31,8.27,8.67,201001-201004,
2324,2010-01-04,2010-03-31,17.28,16.32,201001-201004,
2325,2010-01-04,2010-03-31,27.91,24.66,201001-201004,
2327,2010-01-04,2010-03-31,27.54,28.94,201001-201004,
2328,2010-01-04,2010-03-31,36.4,33.7,201001-201004,
2330,2010-01-04,2010-03-31,40.23,38.13,201001-201004,
2331,2010-01-04,2010-03-31,10.98,9.64,201001-201004,
2332,2010-01-04,2010-03-31,21.95,21.69,201001-201004,
2337,2010-01-04,2010-03-31,25.17,29.37,201001-201004,
2340,2010-01-04,2010-03-31,21.73,18.96,201001-201004,
2344,2010-01-04,2010-03-31,7.1,6.75,201001-201004,
2345,2010-01-04,2010-03-31,7.36,6.95,201001-201004,
2347,2010-01-04,2010-03-31,26.01,26.35,201001-201004,
2349,2010-01-04,2010-03-31,33.22,31.15,201001-201004,
2350,2010-01-04,2010-03-31,20.2,20.3,201001-201004,
2352,2010-01-04,2010-03-31,12.14,10.45,201001-201004,
2353,2010-01-04,2010-03-31,55.17,52.38,201001-201004,
2354,2010-01-04,2010-03-31,57.3,54.71,201001-201004,
2355,2010-01-04,2010-03-31,16.17,14.33,201001-201004,
2356,2010-01-04,2010-03-31,7.69,7.33,201001-201004,
2357,2010-01-04,2010-03-31,19.33,17.32,201001-201004,
2360,2010-01-04,2010-03-31,40.77,39.29,201001-201004,
2362,2010-01-04,2010-03-31,28.41,36.47,201001-201004,
2363,2010-01-04,2010-03-31,27.29,24.52,201001-201004,
2367,2010-01-04,2010-03-31,8.98,8.52,201001-201004,
2368,2010-01-04,2010-03-31,13.06,11.67,201001-201004,
2371,2010-01-04,2010-03-31,20.07,19.21,201001-201004,
2373,2010-01-04,2010-03-31,23.65,25.46,201001-201004,
2374,2010-01-04,2010-03-31,41.68,35.5,201001-201004,
2376,2010-01-04,2010-03-31,11.76,11.78,201001-201004,
2377,2010-01-04,2010-03-31,9.29,8.72,201001-201004,
