remark,n,mean,t_stat,p_value,std,oPeriod,hPeriod
loser,96,-0.0032929744939685,-2.175470598823517,0.0320762657460889,0.0148310112774398,12,12
winner,96,-0.0036341502623447,-2.4850222733170244,0.0147032618711437,0.014328746887993,12,12
winner - loser,96,-0.0003411757683761,-0.3250190612801505,0.7458813245672096,0.0102850157997745,12,12
loser,105,-0.0055378426432344,-1.496995122883426,0.1374233545942607,0.037906603733988,12,3
winner,105,0.0004382129045407,0.1386091835545947,0.8900270237507675,0.0323957326829556,12,3
winner - loser,105,0.0059760555477751,2.6897658509295703,0.0083308772130914,0.0227664229403199,12,3
loser,102,-0.0059066740660242,-2.4756262586534,0.014963700450468,0.0240967244916668,12,6
winner,102,-0.0021392560254627,-1.0011474416540571,0.3191480778866181,0.0215806642405103,12,6
winner - loser,102,0.0037674180405614,2.608557273228377,0.0104718509031738,0.0145862456216784,12,6
loser,99,-0.0048338474052105,-2.666525538233412,0.0089663305624885,0.0180370199801697,12,9
winner,99,-0.0034461182909427,-2.040752000968259,0.043964552299306,0.0168018671776117,12,9
winner - loser,99,0.0013877291142677,1.1773054248072363,0.2419249824845164,0.0117282483008144,12,9
loser,105,-0.0071686001962467,-5.211771142214976,9.537282621149893e-07,0.0140943052308644,3,12
winner,105,-0.0028106268625421,-2.0472420179945185,0.0431553095028412,0.014067880020441,3,12
winner - loser,105,0.0043579733337046,5.829485223840169,6.30559651923156e-08,0.0076603570427131,3,12
loser,114,-0.0048662151581223,-1.4732874558774989,0.1434537092847318,0.0352660031328014,3,3
winner,114,0.0015472920831249,0.5714048664381256,0.5688600157031916,0.0289121770230181,3,3
winner - loser,114,0.0064135072412472,3.213449014793581,0.0017094004119016,0.0213096639683778,3,3
loser,111,-0.0066140963660852,-3.292081743517761,0.0013374880953,0.0211671017398903,3,6
winner,111,-0.0001952148548779,-0.0983859751195718,0.9218048713363164,0.0209045660817827,3,6
winner - loser,111,0.0064188815112072,5.778991266681587,7.106426672850972e-08,0.0117022348645114,3,6
loser,108,-0.0072040238020396,-4.916186295343697,3.2021969963201227e-06,0.0152285546085424,3,9
winner,108,-0.0013433429897936,-0.8293066479758907,0.4087771734469678,0.0168338574108358,3,9
winner - loser,108,0.005860680812246,7.1018164164968125,1.4201298537364358e-10,0.0085761132125362,3,9
loser,102,-0.0070181080692764,-4.812849884393482,5.224518901614938e-06,0.0147271198574996,6,12
winner,102,-0.0031067964280202,-2.186731596265634,0.0310704216628231,0.0143488601531437,6,12
winner - loser,102,0.0039113116412561,4.681443555895642,8.88158561728835e-06,0.0084380620560065,6,12
loser,111,-0.0060091887846524,-1.7385329656434831,0.084914949444644,0.0364161817013293,6,3
winner,111,0.0027764841045169,0.9749957153539676,0.331701654856276,0.0300022602303131,6,3
winner - loser,111,0.0087856728891694,4.306210547663279,3.622054157775838e-05,0.0214951885240127,6,3
loser,108,-0.0075337857822617,-3.534203138492224,0.0006054405342758,0.0221530555605545,6,6
winner,108,0.0008031055992587,0.395051582649518,0.6935912526677988,0.0211266542829163,6,6
winner - loser,108,0.0083368913815205,7.090995246384885,1.4977244088439274e-10,0.0122182449274705,6,6
loser,105,-0.0075452123449981,-4.610355135380555,1.1473568542662578e-05,0.0167699487669781,6,9
winner,105,-0.0011412584728686,-0.7049890435318704,0.4823929562543501,0.0165880867085997,6,9
winner - loser,105,0.0064039538721294,7.0707509482134085,1.8358349261151356e-10,0.0092806266994551,6,9
loser,99,-0.0056581019396448,-3.709461550878205,0.0003445620795159,0.0151767049492193,9,12
winner,99,-0.0038498499408391,-2.6980140389360296,0.0082145260309063,0.0141976738097002,9,12
winner - loser,99,0.0018082519988057,1.8964511731280516,0.060845650146433,0.0094871307388686,9,12
loser,108,-0.0066222714574697,-1.840694582669,0.0684372590859501,0.0373884208727962,9,3
winner,108,0.002968437453417,1.011477731123682,0.3140696553377228,0.0304988493381668,9,3
winner - loser,108,0.0095907089108867,4.36477436048966,2.945957013987887e-05,0.0228349881239623,9,3
loser,105,-0.007574556255002,-3.2514389298414645,0.0015480952856616,0.0238713095013542,9,6
winner,105,-9.934682353397054e-05,-0.0492773233961387,0.9607928036270252,0.0206586303668197,9,6
winner - loser,105,0.0074752094314681,5.551083448917731,2.1847879394204667e-07,0.0137987662614628,9,6
loser,102,-0.0070331615186428,-4.0722524108346985,9.270435168306196e-05,0.0174427914391662,9,9
winner,102,-0.0022701285740339,-1.4187343027480557,0.1590550089900144,0.0161603019675798,9,9
winner - loser,102,0.0047630329446089,4.664104845507838,9.51978295155497e-06,0.0103137207114865,9,9
