remark,n,mean,t_stat,p_value,oPeriod,hPeriod
loser,96,-0.0027991596210149,-1.8404196365929215,0.0688284771047953,12,12
winner,96,-0.0032921055069168,-2.316755595662329,0.0226658960443208,12,12
winner - loser,96,-0.0004929458859018,-0.4748113862415101,0.636011145557118,12,12
loser,105,-0.004461201791806,-1.2310949744612416,0.2210641648338905,12,3
winner,105,0.0012260517436332,0.3922376013387698,0.6956853384849522,12,3
winner - loser,105,0.0056872535354393,2.67207995719846,0.0087524747961815,12,3
loser,102,-0.0053949019795618,-2.2380504221060207,0.0274134079187392,12,6
winner,102,-0.0016889385198082,-0.7825536463931,0.4357201975334014,12,6
winner - loser,102,0.0037059634597536,2.5606014316865613,0.0119286973324028,12,6
loser,99,-0.0041481733828865,-2.260924484629922,0.0259751326780001,12,9
winner,99,-0.0030482671752359,-1.8411083977742653,0.0686308803471381,12,9
winner - loser,99,0.0010999062076506,0.9308062472012631,0.3542411112137247,12,9
loser,105,-0.006724426110644,-4.803794406133817,5.252055224850281e-06,3,12
winner,105,-0.0027205671277081,-1.9645293873455776,0.0521368973171574,3,12
winner - loser,105,0.0040038589829358,5.3817678477158175,4.5848612658803065e-07,3,12
loser,114,-0.0036607589805206,-1.1039387918793788,0.271964951748317,3,3
winner,114,0.0028501888887355,1.0460397489320747,0.2977750965774702,3,3
winner - loser,114,0.0065109478692562,3.3454324948694225,0.0011156848042526,3,3
loser,111,-0.006049723378537,-2.976160330754112,0.0035895643181985,3,6
winner,111,0.0002658160680885,0.1301390802234232,0.89669407880351,3,6
winner - loser,111,0.0063155394466255,5.640422026036914,1.3312922316997086e-07,3,6
loser,108,-0.0067277679756565,-4.467589816132401,1.9711297746923635e-05,3,9
winner,108,-0.0010078538025538,-0.6279955411481056,0.5313449278787458,3,9
winner - loser,108,0.0057199141731027,7.12586788196321,1.2616415891469468e-10,3,9
loser,102,-0.0066788170039672,-4.520988559929173,1.6784649816235354e-05,6,12
winner,102,-0.0031006219411043,-2.172815024230919,0.0321326184726779,6,12
winner - loser,102,0.0035781950628628,4.3293470960529685,3.5286010047257453e-05,6,12
loser,111,-0.0053398975275102,-1.546600090675289,0.1248319551708121,6,3
winner,111,0.0031427039861066,1.1033898410027212,0.2722659224579982,6,3
winner - loser,111,0.0084826015136168,4.171270000630446,6.0694503404814685e-05,6,3
loser,108,-0.0071333215509569,-3.2888901762824743,0.0013619162310906,6,6
winner,108,0.0009744896219203,0.4779263424285293,0.6336775797283183,6,6
winner - loser,108,0.0081078111728773,6.702467232704896,9.92990028258645e-10,6,6
loser,105,-0.0072225463340213,-4.335349530837302,3.372263709946554e-05,6,9
winner,105,-0.0011051116431887,-0.6897727788484083,0.491873378811349,6,9
winner - loser,105,0.0061174346908325,6.668805879464942,1.2738321767117163e-09,6,9
loser,99,-0.0050318423110856,-3.329270158580385,0.001227923480868,9,12
winner,99,-0.0035746612432485,-2.523396596437058,0.0132308250714752,9,12
winner - loser,99,0.001457181067837,1.5633671934668465,0.1211898262756998,9,12
loser,108,-0.0052423222809059,-1.4638070072211151,0.1461783482817205,9,3
winner,108,0.0041542467961704,1.4315995939863666,0.1551729629440303,9,3
winner - loser,108,0.0093965690770763,4.341120672727143,3.228657144542138e-05,9,3
loser,105,-0.0069981867357411,-2.989497844830828,0.003487771046718,9,6
winner,105,0.00015122452892,0.0736931257071821,0.9413961208460156,9,6
winner - loser,105,0.0071494112646611,5.291041430619875,6.788099710754988e-07,9,6
loser,102,-0.0065694607451275,-3.778193494867582,0.0002672845444885,9,9
winner,102,-0.0020801007231619,-1.2927887629302943,0.1990336631299681,9,9
winner - loser,102,0.0044893600219655,4.3530772125505175,3.221794381484137e-05,9,9
