combination,remark,count,mean_return2
201001-201101,loser,87,-0.40080178441030273
201001-201101,winner,87,-0.26673150581734134
201002-201102,loser,82,-0.35414994835551156
201002-201102,winner,83,-0.22616773688824557
201003-201103,loser,88,-0.21987525008751507
201003-201103,winner,88,-0.10429871086414576
201004-201104,loser,93,-0.20925486243811753
201004-201104,winner,94,-0.11644101715958838
201005-201105,loser,90,-0.252233212625048
201005-201105,winner,91,-0.21326828408061252
201006-201106,loser,88,-0.2045781288534047
201006-201106,winner,89,-0.2486879838908594
201007-201107,loser,90,-0.22481648138938154
201007-201107,winner,92,-0.17495882627795545
201008-201108,loser,96,-0.21988125098765351
201008-201108,winner,96,-0.2149060037512133
201009-201109,loser,97,-0.0714698626781562
201009-201109,winner,96,-0.05013150930220131
201010-201110,loser,97,0.05109653258076442
201010-201110,winner,97,0.12223658434141534
201011-201111,loser,95,-0.152762965739441
201011-201111,winner,95,-0.033642532730801304
201012-201112,loser,99,0.020662599891281812
201012-201112,winner,99,0.13024064948904862
201101-201201,loser,108,0.05349174954023573
201101-201201,winner,108,0.1949810529611746
201102-201202,loser,107,-0.059817090532169444
201102-201202,winner,105,0.17708394474628006
201103-201203,loser,105,-0.2013675798789841
201103-201203,winner,105,0.10412568171333701
201104-201204,loser,105,-0.043441156687462956
201104-201204,winner,107,0.06914824556422272
201105-201205,loser,107,0.12646645102184886
201105-201205,winner,106,0.1312072061744241
201106-201206,loser,105,0.17283596910173232
201106-201206,winner,107,0.3028767107453936
201107-201207,loser,100,0.013359110080663787
201107-201207,winner,105,0.2572194482189559
201108-201208,loser,94,0.08046480043462133
201108-201208,winner,98,0.28277828093978025
201109-201209,loser,91,0.015691097525742815
201109-201209,winner,92,0.1722920029256921
201110-201210,loser,92,0.0372085391669871
201110-201210,winner,93,0.2844257066482937
201111-201211,loser,90,0.3397640476239171
201111-201211,winner,91,0.44854704344474744
201112-201212,loser,86,0.12161028009253115
201112-201212,winner,86,0.47391100731687635
201201-201301,loser,88,0.2617098016198065
201201-201301,winner,89,0.4598544844883346
201202-201302,loser,99,0.21665254479162963
201202-201302,winner,99,0.3033506826267133
201203-201303,loser,103,0.20805176518687418
201203-201303,winner,104,0.31859851827516356
201204-201304,loser,96,0.28486023409460653
201204-201304,winner,98,0.3490479201292544
201205-201305,loser,95,0.24890490893830267
201205-201305,winner,95,0.262954334196891
201206-201306,loser,92,0.3662141503801253
201206-201306,winner,92,0.30344226344056385
201207-201307,loser,94,0.48526392124635653
201207-201307,winner,94,0.3192403592641821
201208-201308,loser,96,0.4279110197308946
201208-201308,winner,96,0.2519197937098001
201209-201309,loser,100,0.40722681052788273
201209-201309,winner,99,0.23245835932006528
201210-201310,loser,97,0.2108545511560556
201210-201310,winner,96,0.15733050825648387
201211-201311,loser,91,0.14090731157647196
201211-201311,winner,91,0.02700116380352416
201212-201312,loser,95,0.15592304864208634
201212-201312,winner,97,0.014937266504106294
201301-201401,loser,98,0.18084842769214698
201301-201401,winner,100,0.08865231398082178
201302-201402,loser,100,0.14225113624064017
201302-201402,winner,103,0.09479710367145258
201303-201403,loser,101,0.05613991229421786
201303-201403,winner,106,0.039076587538251065
201304-201404,loser,103,-0.024476908695341203
201304-201404,winner,107,0.040907227525314574
201305-201405,loser,108,-0.03593137513273554
201305-201405,winner,109,0.04966905732363899
201306-201406,loser,108,-0.019804437258811668
201306-201406,winner,110,-0.08216625752020056
201307-201407,loser,109,-0.12396709292572688
201307-201407,winner,110,-0.17088912072009893
201308-201408,loser,110,-0.19029016701079685
201308-201408,winner,110,-0.2686925979943506
201309-201409,loser,112,-0.2935038334371361
201309-201409,winner,111,-0.3176780246634349
201310-201410,loser,115,-0.18929820462466657
201310-201410,winner,114,-0.2134999379834702
201311-201411,loser,114,-0.02547152719612789
201311-201411,winner,114,0.0040594125112313395
201312-201412,loser,116,-0.03226735854157833
201312-201412,winner,118,0.025634064885645267
201401-201501,loser,120,-0.13671460923465661
201401-201501,winner,122,-0.005827251444750101
201402-201502,loser,122,-0.1772509252638902
201402-201502,winner,124,0.021372837213508456
201403-201503,loser,125,-0.10694016854445282
201403-201503,winner,126,0.008729326480216699
201404-201504,loser,125,-0.13721142371574171
201404-201504,winner,127,-0.018454968514430035
201405-201505,loser,125,-0.17043136337381332
201405-201505,winner,125,-0.02418622436586227
201406-201506,loser,127,-0.08338412962141242
201406-201506,winner,124,-0.06607663091095885
201407-201507,loser,129,-0.007059612196207517
201407-201507,winner,127,-0.06727014533388981
201408-201508,loser,126,0.2681549933116277
201408-201508,winner,126,0.18190315798729512
201409-201509,loser,127,0.432091112010168
201409-201509,winner,127,0.2271396341477518
201410-201510,loser,124,0.2904050869311087
201410-201510,winner,122,0.11975403182721411
201411-201511,loser,125,0.11290422308978573
201411-201511,winner,124,0.08859358037737801
201412-201512,loser,128,0.13832518000167981
201412-201512,winner,128,0.01465910427887753
201501-201601,loser,130,0.14591557115234477
201501-201601,winner,133,0.04964653651838073
201502-201602,loser,132,0.18325039095345172
201502-201602,winner,133,0.0589200410962058
201503-201603,loser,132,0.2491724932141678
201503-201603,winner,133,0.034386850574417496
201504-201604,loser,132,0.2783550950920764
201504-201604,winner,134,0.029394214688054643
201505-201605,loser,128,0.36473858148488614
201505-201605,winner,132,0.06862255975417943
201506-201606,loser,123,0.2355560778655894
201506-201606,winner,127,0.023635188078143098
201507-201607,loser,119,0.15986639742735365
201507-201607,winner,123,0.008675906067418877
201508-201608,loser,112,0.10213519260919422
201508-201608,winner,116,0.09035763505590903
201509-201609,loser,114,0.11137502018256615
201509-201609,winner,118,0.1317154941622236
201510-201610,loser,119,0.11646439938054941
201510-201610,winner,122,0.16815101215916603
201511-201611,loser,118,0.1591762073258384
201511-201611,winner,121,0.2618889182730644
201512-201612,loser,118,0.15257598899392993
201512-201612,winner,120,0.3126845037588011
201601-201701,loser,116,0.058401820074815675
201601-201701,winner,118,0.2421492411646858
201602-201702,loser,120,0.04292101094764967
201602-201702,winner,121,0.2560165727051742
201603-201703,loser,126,-0.03012381011462978
201603-201703,winner,127,0.30271484433184354
201604-201704,loser,125,0.06225354753626853
201604-201704,winner,126,0.18891937984292204
201605-201705,loser,122,0.06937331839788842
201605-201705,winner,122,0.12313075007981802
201606-201706,loser,124,0.057935658613258466
201606-201706,winner,123,0.11498671690909387
201607-201707,loser,129,0.01028827943382239
201607-201707,winner,127,0.30541285994483086
201608-201708,loser,131,0.006686740730974357
201608-201708,winner,132,0.12735776181729078
201609-201709,loser,133,0.008789716505097512
201609-201709,winner,133,0.01802042079737988
201610-201710,loser,132,-0.013224417528918937
201610-201710,winner,133,-0.1293455687606476
201611-201711,loser,131,-0.14627823791270256
201611-201711,winner,132,-0.31364728460016
201612-201712,loser,132,-0.02295971839728756
201612-201712,winner,134,-0.1795323876412682
201701-201801,loser,135,-0.04450880421113953
201701-201801,winner,136,-0.19635373328900863
201702-201802,loser,138,-0.024155735841112035
201702-201802,winner,139,-0.19541039864450538
201703-201803,loser,141,0.050986718946658384
201703-201803,winner,142,-0.11541097526288752
201704-201804,loser,140,0.006307603441973221
201704-201804,winner,141,-0.13764822729422005
201705-201805,loser,140,0.06812610803848734
201705-201805,winner,140,-0.10822422124818742
201706-201806,loser,141,-0.016488869028307523
201706-201806,winner,142,-0.2420946955896068
201707-201807,loser,141,-0.012903701386599038
201707-201807,winner,142,-0.24701636664110369
201708-201808,loser,142,-0.0002176360794098802
201708-201808,winner,143,-0.15381168232026052
201709-201809,loser,145,0.023504056804897894
201709-201809,winner,146,-0.12321909442892055
201710-201810,loser,145,0.10710405582768905
201710-201810,winner,147,-0.023105668415451693
201711-201811,loser,147,0.3912536403534392
201711-201811,winner,147,0.13832535028975582
201712-201812,loser,146,0.21376027924500265
