combination,remark,count,mean_avg_monthly_return
201001-201101,loser,88,-0.02867004930734731
201001-201101,winner,88,0.0009183345220629917
201002-201102,loser,83,-0.058503988616843194
201002-201102,winner,83,-0.030665834087088433
201003-201103,loser,88,-0.07232601211905536
201003-201103,winner,88,-0.0398565350049805
201004-201104,loser,93,-0.06506913818670336
201004-201104,winner,94,-0.05258851572951595
201005-201105,loser,88,-0.05518834379749596
201005-201105,winner,91,-0.037141583914325864
201006-201106,loser,86,-0.07553251922965026
201006-201106,winner,89,-0.06344743448286441
201007-201107,loser,91,-0.06785158374718397
201007-201107,winner,92,-0.050596876402215926
201008-201108,loser,96,0.0019797309717366866
201008-201108,winner,96,-0.01662038339593502
201009-201109,loser,97,0.01862969071429731
201009-201109,winner,96,0.00278141000254303
201010-201110,loser,96,0.006853560630632537
201010-201110,winner,97,0.012131420723706623
201011-201111,loser,95,-0.00418181031603001
201011-201111,winner,95,0.0004083551746914508
201012-201112,loser,98,0.016668057693969594
201012-201112,winner,99,0.013871342594851743
201101-201201,loser,108,0.011746831431478675
201101-201201,winner,108,0.017582635382940828
201102-201202,loser,106,-0.04374334501435624
201102-201202,winner,106,-0.0009583256691303915
201103-201203,loser,106,-0.045130034110242065
201103-201203,winner,105,-0.009277720178014318
201104-201204,loser,105,-0.0224549376711193
201104-201204,winner,108,-0.0008043671962196129
201105-201205,loser,106,-0.037042439648995965
201105-201205,winner,107,-0.010658120185289966
201106-201206,loser,106,-0.012082201893095983
201106-201206,winner,105,0.013714060766134264
201107-201207,loser,101,-0.009307797584654703
201107-201207,winner,103,0.011867144069178331
201108-201208,loser,94,0.009829596727581267
201108-201208,winner,98,0.01562835258091861
201109-201209,loser,92,0.0036554961596428504
201109-201209,winner,92,0.012330008799987222
201110-201210,loser,93,-0.003348550072997959
201110-201210,winner,93,0.01679317206816328
201111-201211,loser,92,0.033727479282400066
201111-201211,winner,91,0.03180934758367224
201112-201212,loser,86,0.023639835864893204
201112-201212,winner,86,0.02849716084484731
201201-201301,loser,84,0.00567664470064832
201201-201301,winner,89,0.013248755512813924
201202-201302,loser,97,0.0031458090897717797
201202-201302,winner,99,0.01616731451264819
201203-201303,loser,104,-0.006815322972052252
201203-201303,winner,104,0.008657690034577005
201204-201304,loser,96,0.009502401835325063
201204-201304,winner,98,0.013312084061122692
201205-201305,loser,95,-0.003001543398017002
201205-201305,winner,95,0.0026745952287744327
201206-201306,loser,93,-0.0015979493343138281
201206-201306,winner,92,0.014727991749419378
201207-201307,loser,94,0.020021715605397707
201207-201307,winner,94,0.012625336906014023
201208-201308,loser,94,0.015752552594070324
201208-201308,winner,96,0.01145283434079892
201209-201309,loser,99,0.03551483730161721
201209-201309,winner,100,0.027963507855536397
201210-201310,loser,97,0.024789627871132893
201210-201310,winner,97,0.020310975499045453
201211-201311,loser,92,0.03276198796390036
201211-201311,winner,92,0.021929216013903356
201212-201312,loser,97,0.034473284020008106
201212-201312,winner,98,0.019195123635346156
