combination,remark,count,mean_avg_monthly_return,std_avg_monthly_return
201001-201007,loser,88,0.0005963046203259899,0.058162590992174204
201001-201007,winner,88,0.009145793725745477,0.07217845410599136
201002-201008,loser,81,-0.05290427644644182,0.08397068579266731
201002-201008,winner,83,-0.019427905708903945,0.08659947298866602
201003-201009,loser,85,-0.02601640377585246,0.06820934683109127
201003-201009,winner,87,-0.00427409911252186,0.0854457359835311
201004-201010,loser,94,-0.023352230136494675,0.04914266173683061
201004-201010,winner,93,-0.008054241273948524,0.0639258440947451
201005-201011,loser,90,0.026279668325480184,0.053715017805164425
201005-201011,winner,91,0.01145961634797196,0.05941786854997403
201006-201012,loser,88,0.014592357924376772,0.0664870681379915
201006-201012,winner,90,-0.00829714396468431,0.06544843594082476
201007-201101,loser,91,-0.009711527695771759,0.06613769892302573
201007-201101,winner,93,-0.0005031268457694525,0.06565110729785226
201008-201102,loser,95,-0.02071660299333374,0.06282547048877184
201008-201102,winner,96,0.007943324248958035,0.0706535955841527
201009-201103,loser,96,-0.02384223501228416,0.06595558606550021
201009-201103,winner,96,0.0009251714299771673,0.07163267401725834
201010-201104,loser,99,-0.03248016658056716,0.06741127873028836
201010-201104,winner,99,-0.015354984126413503,0.07329852874204795
201011-201105,loser,95,-0.09672145143149731,0.06523737451000024
201011-201105,winner,96,-0.050544795041129874,0.07636244520524993
201012-201106,loser,101,-0.10316995188527223,0.07048015316137825
201012-201106,winner,101,-0.06061427258525275,0.07189571291298437
201101-201107,loser,107,-0.09178385572223788,0.06539393245738397
201101-201107,winner,109,-0.08424815651445125,0.07219733557223719
201102-201108,loser,108,-0.01238399337243181,0.06571507853613438
201102-201108,winner,108,-0.01977539462137376,0.07158079148581016
201103-201109,loser,104,-0.07175091128491579,0.05809358873423393
201103-201109,winner,106,-0.053398594034041895,0.061749578437968855
201104-201110,loser,108,-0.029164563556070795,0.05917435022393714
201104-201110,winner,108,-0.008413271042330623,0.05754268735329952
201105-201111,loser,106,0.03128656461404037,0.06217785051791071
201105-201111,winner,107,-0.0041457396480463855,0.04046440840767748
201106-201112,loser,105,0.1348618523924497,0.08137738285675458
201106-201112,winner,105,0.03879201131022159,0.055045129065068164
201107-201201,loser,104,0.07138596040689163,0.07797593749714567
201107-201201,winner,104,0.036226488540248396,0.06764611629368114
201108-201202,loser,99,-0.030501583094600857,0.06925639862155362
201108-201202,winner,98,0.006097767170970247,0.06925194791846302
201109-201203,loser,92,-0.06377290517508426,0.06166812845303108
201109-201203,winner,91,-0.06029493682021947,0.05876458210344441
201110-201204,loser,90,-0.03016335266686051,0.046780773816321466
201110-201204,winner,93,-0.017615364891319,0.04932424867225108
201111-201205,loser,92,-0.026440213589205504,0.05861486913903082
201111-201205,winner,92,-0.01771149002614022,0.06372883548918114
201112-201206,loser,87,0.006563775984126383,0.0681538216589231
201112-201206,winner,87,0.009957610098678656,0.06681063923512624
201201-201207,loser,87,0.006782561091642583,0.0683242601422473
201201-201207,winner,89,0.010682246838684706,0.0685538505603149
201202-201208,loser,99,-0.02090398351485926,0.07475374994333046
201202-201208,winner,98,-0.004658254452347509,0.08747424236499893
201203-201209,loser,103,-0.02291159532129338,0.059081426469538206
201203-201209,winner,102,-0.0006434760967113775,0.06276573199923013
201204-201210,loser,98,-0.008370973681418467,0.0695299888206202
201204-201210,winner,98,0.003690948736228701,0.052820511128032634
201205-201211,loser,91,0.05514344284096524,0.06940915879107419
201205-201211,winner,92,0.03110895846400663,0.0792518478597878
201206-201212,loser,89,0.03733042994245974,0.06038422745740858
201206-201212,winner,91,0.046112888888261275,0.09433207091073996
201207-201301,loser,93,0.01256741135990128,0.05905654277750248
201207-201301,winner,94,0.03275815136816618,0.09152016910012475
201208-201302,loser,94,0.004979448880812322,0.0604057401974278
201208-201302,winner,95,0.03360427109132934,0.08679360055135264
201209-201303,loser,99,0.007145862841559749,0.06615550500215675
201209-201303,winner,100,0.021117389099947828,0.10379186192062013
201210-201304,loser,97,-0.015459478653973771,0.053253268920480906
201210-201304,winner,97,0.029326309305917748,0.09846384155849297
