combination,remark,count,mean_avg_monthly_return
201001-201010,loser,87,-0.0190513623230067
201001-201010,winner,86,-0.0027780196199526136
201001-201010,winner - loser,-,0.016273342703054087
201002-201011,loser,82,0.031070175759993872
201002-201011,winner,82,0.016443447800914265
201002-201011,winner - loser,-,-0.014626727959079606
201003-201012,loser,87,0.013029320113469748
201003-201012,winner,87,-0.005872923105523792
201003-201012,winner - loser,-,-0.01890224321899354
201004-201101,loser,93,-0.010975360182533072
201004-201101,winner,94,-0.006422430175601368
201004-201101,winner - loser,-,0.004552930006931704
201005-201102,loser,90,-0.021626648160949346
201005-201102,winner,91,0.015775054825236983
201005-201102,winner - loser,-,0.03740170298618633
201006-201103,loser,89,-0.0268371916598386
201006-201103,winner,90,0.0028448438194205615
201006-201103,winner - loser,-,0.029682035479259163
201007-201104,loser,92,-0.03359001678919704
201007-201104,winner,92,-0.0022469141897947438
201007-201104,winner - loser,-,0.031343102599402296
201008-201105,loser,95,-0.09300150069909013
201008-201105,winner,96,-0.03753930173175966
201008-201105,winner - loser,-,0.05546219896733048
201009-201106,loser,97,-0.10967239966103878
201009-201106,winner,97,-0.05931090318940405
201009-201106,winner - loser,-,0.05036149647163473
201010-201107,loser,97,-0.0989396990766594
201010-201107,winner,97,-0.08798231937665112
201010-201107,winner - loser,-,0.010957379700008277
201011-201108,loser,96,-0.007785647535030272
201011-201108,winner,96,-0.019827477505972173
201011-201108,winner - loser,-,-0.0120418299709419
201012-201109,loser,99,-0.06574941616046424
201012-201109,winner,100,-0.06228214853135125
201012-201109,winner - loser,-,0.003467267629112994
201101-201110,loser,107,-0.02985638067277907
201101-201110,winner,109,-0.014779562105747789
201101-201110,winner - loser,-,0.015076818567031282
201102-201111,loser,106,0.03305026123533757
201102-201111,winner,107,-0.003625946943816883
201102-201111,winner - loser,-,-0.03667620817915446
201103-201112,loser,104,0.13271969050113966
201103-201112,winner,105,0.04034783036204377
201103-201112,winner - loser,-,-0.09237186013909589
201104-201201,loser,107,0.059799799595862554
201104-201201,winner,107,0.048260407574649326
201104-201201,winner - loser,-,-0.011539392021213228
201105-201202,loser,107,-0.03439434646452339
201105-201202,winner,106,0.004633340383978264
201105-201202,winner - loser,-,0.03902768684850166
201106-201203,loser,106,-0.07692059682758495
201106-201203,winner,106,-0.040137409972019644
201106-201203,winner - loser,-,0.03678318685556531
201107-201204,loser,103,-0.021463495919995742
201107-201204,winner,105,-0.015539374254643664
201107-201204,winner - loser,-,0.005924121665352078
201108-201205,loser,98,-0.04131995751514037
201108-201205,winner,99,-0.012353142906133445
201108-201205,winner - loser,-,0.02896681460900693
201109-201206,loser,93,0.010515021848847611
201109-201206,winner,92,0.027947363118287893
201109-201206,winner - loser,-,0.01743234126944028
201110-201207,loser,89,0.002975995255928507
201110-201207,winner,92,0.026973295861668255
201110-201207,winner - loser,-,0.02399730060573975
201111-201208,loser,92,-0.020139063649876016
201111-201208,winner,91,-0.0007658095260140151
201111-201208,winner - loser,-,0.019373254123862
201112-201209,loser,85,-0.02652064067385859
201112-201209,winner,86,0.006077057746114161
201112-201209,winner - loser,-,0.03259769841997275
201201-201210,loser,84,-0.007081248641312489
201201-201210,winner,88,0.0076832405256462705
201201-201210,winner - loser,-,0.01476448916695876
201202-201211,loser,99,0.05781861398720305
201202-201211,winner,97,0.03385954432898011
201202-201211,winner - loser,-,-0.02395906965822294
201203-201212,loser,99,0.03353698794130323
201203-201212,winner,102,0.03968569656522328
201203-201212,winner - loser,-,0.00614870862392005
201204-201301,loser,97,0.007866108089883408
201204-201301,winner,98,0.03357609283093562
201204-201301,winner - loser,-,0.02570998474105221
201205-201302,loser,95,0.01039675514741869
201205-201302,winner,94,0.032359638182223795
201205-201302,winner - loser,-,0.021962883034805106
201206-201303,loser,90,0.01241059441019484
201206-201303,winner,92,0.018778108195800117
201206-201303,winner - loser,-,0.006367513785605277
201207-201304,loser,94,-0.0037718897601772224
201207-201304,winner,94,0.024598820388343736
201207-201304,winner - loser,-,0.02837071014852096
201208-201305,loser,94,-0.0016754696353637394
201208-201305,winner,95,0.036181732169407906
201208-201305,winner - loser,-,0.037857201804771645
201209-201306,loser,99,0.00015390769965744448
201209-201306,winner,99,0.017301021829964715
201209-201306,winner - loser,-,0.01714711413030727
201210-201307,loser,97,0.020514351774521523
201210-201307,winner,97,0.024452998377159307
201210-201307,winner - loser,-,0.003938646602637784
201211-201308,loser,92,-0.008458560443272868
201211-201308,winner,91,0.008140403085548989
201211-201308,winner - loser,-,0.016598963528821856
201212-201309,loser,97,-0.008490337186912233
201212-201309,winner,98,0.023727213163220177
201212-201309,winner - loser,-,0.03221755035013241
201301-201310,loser,101,0.014455630111079233
201301-201310,winner,101,0.016432645938167793
201301-201310,winner - loser,-,0.0019770158270885595
201302-201311,loser,103,0.029949650843895222
201302-201311,winner,103,0.024339738543687768
201302-201311,winner - loser,-,-0.005609912300207454
201303-201312,loser,105,0.05789872133088558
201303-201312,winner,105,0.03810058650702622
201303-201312,winner - loser,-,-0.019798134823859365
201304-201401,loser,107,0.038166600046422965
201304-201401,winner,106,0.04313961948887294
201304-201401,winner - loser,-,0.004973019442449975
201305-201402,loser,110,0.026903395134126498
201305-201402,winner,108,0.025939165815731427
201305-201402,winner - loser,-,-0.0009642293183950712
201306-201403,loser,110,0.008408325650529128
201306-201403,winner,109,0.019246945928917732
201306-201403,winner - loser,-,0.010838620278388604
201307-201404,loser,111,0.009232739140972118
201307-201404,winner,109,-0.001452275473648695
201307-201404,winner - loser,-,-0.010685014614620812
201308-201405,loser,109,-0.01724733678377441
201308-201405,winner,111,-0.008129395116518253
201308-201405,winner - loser,-,0.009117941667256156
201309-201406,loser,113,-0.01902782531794915
201309-201406,winner,113,-0.023198604974532362
201309-201406,winner - loser,-,-0.004170779656583211
201310-201407,loser,116,-0.03359819024196246
201310-201407,winner,114,-0.03167071558458667
201310-201407,winner - loser,-,0.0019274746573757842
201311-201408,loser,114,-0.03825035218055203
201311-201408,winner,113,-0.042611444275613156
201311-201408,winner - loser,-,-0.004361092095061123
201312-201409,loser,118,-0.020521213602982327
201312-201409,winner,116,-0.023752386166912574
201312-201409,winner - loser,-,-0.003231172563930247
201401-201410,loser,121,0.000977052933733493
201401-201410,winner,119,-0.00616722519559534
201401-201410,winner - loser,-,-0.007144278129328834
201402-201411,loser,123,0.02816526855531618
201402-201411,winner,124,0.02923169613572564
201402-201411,winner - loser,-,0.0010664275804094618
201403-201412,loser,125,0.03037425158547183
201403-201412,winner,127,0.01462845442807151
201403-201412,winner - loser,-,-0.01574579715740032
201404-201501,loser,125,0.002729757482477318
201404-201501,winner,127,0.021604602403313123
201404-201501,winner - loser,-,0.018874844920835805
201405-201502,loser,124,-0.008845106196060102
201405-201502,winner,126,0.022772063105258974
201405-201502,winner - loser,-,0.031617169301319074
201406-201503,loser,128,-0.05738330467815903
201406-201503,winner,126,-0.0014112754679073921
201406-201503,winner - loser,-,0.05597202921025164
201407-201504,loser,130,-0.0569895173876811
201407-201504,winner,129,-0.01615872984513037
201407-201504,winner - loser,-,0.040830787542550734
201408-201505,loser,127,-0.0998597775670096
201408-201505,winner,127,-0.04642608109292812
201408-201505,winner - loser,-,0.053433696474081485
201409-201506,loser,127,-0.0743025560068163
201409-201506,winner,128,-0.056029243819101765
201409-201506,winner - loser,-,0.018273312187714538
201410-201507,loser,124,-0.037705586961693696
201410-201507,winner,124,-0.020184810925362173
201410-201507,winner - loser,-,0.017520776036331523
201411-201508,loser,125,0.07008753365822294
201411-201508,winner,124,0.04691082237312471
201411-201508,winner - loser,-,-0.023176711285098232
201412-201509,loser,129,0.06689400106209104
201412-201509,winner,128,0.03949116537572908
201412-201509,winner - loser,-,-0.027402835686361954
201501-201510,loser,133,0.0055740740761795506
201501-201510,winner,130,-0.014971845639513282
201501-201510,winner - loser,-,-0.020545919715692834
201502-201511,loser,131,-0.023652076953830124
201502-201511,winner,131,-0.010471666475450529
201502-201511,winner - loser,-,0.013180410478379595
201503-201512,loser,133,0.00837001679443904
201503-201512,winner,133,-0.0004321404369949968
201503-201512,winner - loser,-,-0.008802157231434037
201504-201601,loser,133,0.030895216277520874
201504-201601,winner,134,0.04177240162602539
201504-201601,winner - loser,-,0.010877185348504518
201505-201602,loser,129,-0.0047767603639414236
201505-201602,winner,131,0.0025479812910089343
201505-201602,winner - loser,-,0.007324741654950358
201506-201603,loser,125,-0.03764510212226359
201506-201603,winner,128,-0.006581215495690481
201506-201603,winner - loser,-,0.031063886626573105
201507-201604,loser,122,-0.01831468134483916
201507-201604,winner,122,0.0007116289194702501
201507-201604,winner - loser,-,0.01902631026430941
201508-201605,loser,112,0.03493940728265943
201508-201605,winner,116,0.050274513417037016
201508-201605,winner - loser,-,0.015335106134377587
201509-201606,loser,114,0.012948415073419225
201509-201606,winner,117,0.017212331478033367
201509-201606,winner - loser,-,0.004263916404614142
201510-201607,loser,118,0.008426518108967976
201510-201607,winner,122,0.02055584116764198
201510-201607,winner - loser,-,0.012129323058674002
201511-201608,loser,119,-0.036742526708491825
201511-201608,winner,121,-0.03456566468379736
201511-201608,winner - loser,-,0.0021768620246944634
201512-201609,loser,118,-0.023841864127147398
201512-201609,winner,120,-0.016101187569093213
201512-201609,winner - loser,-,0.007740676558054185
201601-201610,loser,118,-0.01379584928983582
201601-201610,winner,118,-0.009607462198229482
201601-201610,winner - loser,-,0.004188387091606337
201602-201611,loser,121,0.024942680150004552
201602-201611,winner,121,0.015791686056228046
201602-201611,winner - loser,-,-0.009150994093776506
201603-201612,loser,127,0.02807431414702878
201603-201612,winner,125,0.02720137929419237
201603-201612,winner - loser,-,-0.0008729348528364114
201604-201701,loser,125,0.007376182061603373
201604-201701,winner,124,0.04749060970719953
201604-201701,winner - loser,-,0.04011442764559616
201605-201702,loser,121,-0.010653939337450642
201605-201702,winner,123,0.024438223097615404
201605-201702,winner - loser,-,0.03509216243506605
201606-201703,loser,124,-0.010261543475413146
201606-201703,winner,125,0.017485580445718463
201606-201703,winner - loser,-,0.027747123921131607
201607-201704,loser,126,-0.009321134420605899
201607-201704,winner,130,0.007464030646151701
201607-201704,winner - loser,-,0.0167851650667576
201608-201705,loser,131,0.0039849345779217225
201608-201705,winner,132,0.02640270117067448
201608-201705,winner - loser,-,0.022417766592752755
201609-201706,loser,131,-0.004504508985281263
201609-201706,winner,132,0.027534795490373576
201609-201706,winner - loser,-,0.03203930447565484
201610-201707,loser,130,0.0035060677878474625
201610-201707,winner,132,0.03563566024212677
201610-201707,winner - loser,-,0.03212959245427931
201611-201708,loser,130,-0.006625443147634456
201611-201708,winner,132,0.012042560561936335
201611-201708,winner - loser,-,0.01866800370957079
201612-201709,loser,134,-0.019368244684679244
201612-201709,winner,133,-0.014161071248615415
201612-201709,winner - loser,-,0.005207173436063828
201701-201710,loser,134,-0.008437447529954217
201701-201710,winner,136,0.008799692177811467
201701-201710,winner - loser,-,0.017237139707765685
201702-201711,loser,139,-0.01876066541782336
201702-201711,winner,139,-0.02583210518223092
201702-201711,winner - loser,-,-0.00707143976440756
201703-201712,loser,141,0.016987068306529098
201703-201712,winner,142,0.020775290391757427
201703-201712,winner - loser,-,0.0037882220852283287
201704-201801,loser,141,0.024070892826058867
201704-201801,winner,141,-0.0002734444786507094
201704-201801,winner - loser,-,-0.024344337304709578
201705-201802,loser,140,0.022383155894527988
201705-201802,winner,141,-0.0003175686868973122
201705-201802,winner - loser,-,-0.0227007245814253
201706-201803,loser,141,0.00882583078243935
201706-201803,winner,142,0.028329305129340086
201706-201803,winner - loser,-,0.019503474346900737
201707-201804,loser,142,-0.02458669934497442
201707-201804,winner,142,-0.005238392848743213
201707-201804,winner - loser,-,0.019348306496231208
201708-201805,loser,143,0.006467175053423307
201708-201805,winner,143,0.009457347146314538
201708-201805,winner - loser,-,0.0029901720928912313
201709-201806,loser,146,-0.0262803615710854
201709-201806,winner,146,-0.048414946976451684
201709-201806,winner - loser,-,-0.022134585405366284
201710-201807,loser,146,-0.03206746321581844
201710-201807,winner,146,-0.07214392191056808
201710-201807,winner - loser,-,-0.04007645869474964
201711-201808,loser,145,-0.0825553206642681
201711-201808,winner,148,-0.09841798063319851
201711-201808,winner - loser,-,-0.01586265996893041
201712-201809,loser,146,-0.03574610283418389
201712-201809,winner,147,-0.04664671503489636
201712-201809,winner - loser,-,-0.010900612200712471
201801-201810,loser,150,-0.011049723179489048
201801-201810,winner,152,-0.0168242421195376
201801-201810,winner - loser,-,-0.005774518940048554
201802-201811,loser,149,0.04485155376504542
201802-201811,winner,146,0.026463375481807692
201802-201811,winner - loser,-,-0.018388178283237726
201803-201812,loser,152,0.02530439127403052
201803-201812,winner,150,0.02771888352056496
201803-201812,winner - loser,-,0.0024144922465344394
201804-201901,loser,151,0.04115600185366768
201804-201901,winner,150,0.055109857887240224
201804-201901,winner - loser,-,0.013953856033572541
201805-201902,loser,150,0.012411784932252031
201805-201902,winner,149,0.026979012105713088
201805-201902,winner - loser,-,0.014567227173461057
201806-201903,loser,152,-0.0302737037104105
201806-201903,winner,153,0.011391821206522912
201806-201903,winner - loser,-,0.041665524916933414
201807-201904,loser,150,-0.01592279839035341
201807-201904,winner,152,0.0021312606251734333
201807-201904,winner - loser,-,0.018054059015526844
201808-201905,loser,150,-0.02251802175866284
201808-201905,winner,152,-5.212780832955729e-05
201808-201905,winner - loser,-,0.02246589395033328
201809-201906,loser,150,0.015623095189190058
201809-201906,winner,152,0.03929869757533994
201809-201906,winner - loser,-,0.023675602386149887
201810-201907,loser,147,-0.004522352526134538
201810-201907,winner,147,0.01995457104941187
201810-201907,winner - loser,-,0.02447692357554641
201811-201908,loser,142,0.007093692909953421
201811-201908,winner,145,0.026334643564805
201811-201908,winner - loser,-,0.01924095065485158
201812-201909,loser,144,-0.007207454690719954
201812-201909,winner,148,0.009577884833889567
201812-201909,winner - loser,-,0.01678533952460952
