combination,remark,count,mean_return2
201001-201101,loser,88,-0.13279157231420932
201001-201101,winner,88,-0.007706253046350268
201002-201102,loser,83,-0.16162395427950868
201002-201102,winner,83,-0.007364200052033165
201003-201103,loser,88,-0.30673877615071327
201003-201103,winner,88,-0.10568307474313293
201004-201104,loser,94,-0.28593148283021164
201004-201104,winner,94,-0.2194398134613671
201005-201105,loser,88,-0.2625877662214703
201005-201105,winner,91,-0.17074514826293735
201006-201106,loser,88,-0.280767575213043
201006-201106,winner,89,-0.29852748922408107
201007-201107,loser,89,-0.3181901289790148
201007-201107,winner,92,-0.24703908344181927
201008-201108,loser,96,-0.2169814975990126
201008-201108,winner,96,-0.22331699302309807
201009-201109,loser,97,0.133596921994894
201009-201109,winner,96,0.013658052731543613
201010-201110,loser,97,0.15149079977401073
201010-201110,winner,97,0.1415181154389578
201011-201111,loser,95,-0.0004491792617967002
201011-201111,winner,95,0.01680803510555083
201012-201112,loser,99,0.14657988727034232
201012-201112,winner,99,0.08867453870756856
201101-201201,loser,108,0.11780152197372017
201101-201201,winner,108,0.1363761300739056
201102-201202,loser,107,-0.12378436212561299
201102-201202,winner,106,0.04432357231483739
201103-201203,loser,105,-0.2666147828620567
201103-201203,winner,105,-0.04255361397962011
201104-201204,loser,108,-0.12672983633635757
201104-201204,winner,108,-0.01752476298995033
201105-201205,loser,107,-0.15417381641485156
201105-201205,winner,107,-0.04142742706934639
201106-201206,loser,107,-0.07689116264737664
201106-201206,winner,106,0.10155960668629646
201107-201207,loser,104,-0.03659598026975242
201107-201207,winner,104,0.0976246981981799
201108-201208,loser,97,0.058395253973055894
201108-201208,winner,98,0.12963820808157378
201109-201209,loser,93,0.036013986197621195
201109-201209,winner,92,0.10956785427956879
201110-201210,loser,94,0.03770789205220176
201110-201210,winner,93,0.1640185331998841
201111-201211,loser,92,0.30697403684949676
201111-201211,winner,91,0.25853515832052537
201112-201212,loser,85,0.2451064091854092
201112-201212,winner,86,0.2711428547417771
201201-201301,loser,87,0.10039459060243747
201201-201301,winner,89,0.12536599142212648
201202-201302,loser,99,0.035229520899709064
201202-201302,winner,99,0.16978870481992997
201203-201303,loser,104,-0.024460998304158568
201203-201303,winner,104,0.06513666620751743
