stock_id,start_date,end_date,SD_close,ED_close,combination,return,RT_%_Rank,remark,RT_rank
1101,2010-01-04,2010-03-31,12.18,10.64,201001-201004,-0.12643678,3.0730323192993767,,765.0
1102,2010-01-04,2010-03-31,13.87,12.44,201001-201004,-0.10310022,3.289111487725356,,694.0
1110,2010-01-04,2010-03-31,9.96,9.83,201001-201004,-0.01305221,4.122889007600362,,393.0
1201,2010-01-04,2010-03-31,34.23,29.53,201001-201004,-0.13730646,2.9723871764224277,,784.0
1203,2010-01-04,2010-03-31,14.32,14.88,201001-201004,0.03910615,4.605836582361289,,265.0
1210,2010-01-04,2010-03-31,10.62,9.9,201001-201004,-0.06779661,3.615996628090307,,573.0
1216,2010-01-04,2010-03-31,16.67,15.49,201001-201004,-0.07078584,3.5883185841697807,,583.0
1217,2010-01-04,2010-03-31,11.36,11.28,201001-201004,-0.00704225,4.178536761985472,,375.0
1225,2010-01-04,2010-03-31,10.29,9.79,201001-201004,-0.04859086,3.7938275718539654,,509.0
1232,2010-01-04,2010-03-31,16.82,18.1,201001-201004,0.07609988,4.948370975407016,,213.0
1233,2010-01-04,2010-03-31,18.98,23.27,201001-201004,0.2260274,6.336588169619419,winner,88.0
1234,2010-01-04,2010-03-31,12.27,17.29,201001-201004,0.40912795,8.031962919897069,winner,28.0
1235,2010-01-04,2010-03-31,10.31,10.29,201001-201004,-0.00193986,4.225781093977207,,359.0
1236,2010-01-04,2010-03-31,10.55,13.42,201001-201004,0.27203791,6.762611231272686,winner,68.0
1301,2010-01-04,2010-03-31,33.48,34.98,201001-201004,0.04480287,4.658583967595259,,257.0
1303,2010-01-04,2010-03-31,29.66,33.37,201001-201004,0.12508429,5.401930136596035,,153.0
1307,2010-01-04,2010-03-31,14.6,14.58,201001-201004,-0.00136986,4.231058869536365,,358.0
1310,2010-01-04,2010-03-31,9.33,11.74,201001-201004,0.25830654,6.635468969904711,winner,74.0
1312,2010-01-04,2010-03-31,9.72,9.1,201001-201004,-0.06378601,3.6531317976649667,,561.0
1315,2010-01-04,2010-03-31,31.31,31.24,201001-201004,-0.00223571,4.223041743276897,,360.0
1319,2010-01-04,2010-03-31,31.61,32.1,201001-201004,0.01550142,4.387274359423556,,319.0
1321,2010-01-04,2010-03-31,23.82,23.02,201001-201004,-0.03358522,3.932768624558375,,463.0
1324,2010-01-04,2010-03-31,14.28,14.15,201001-201004,-0.00910364,4.15944982556461,,381.0
1325,2010-01-04,2010-03-31,15.31,14.12,201001-201004,-0.07772698,3.5240487963720803,,607.0
1326,2010-01-04,2010-03-31,35.16,37.92,201001-201004,0.07849829,4.970578466071645,,208.0
1336,2010-01-04,2010-03-31,13.5,12.89,201001-201004,-0.04518519,3.825361540079501,,501.0
1402,2010-01-04,2010-03-31,18.24,15.99,201001-201004,-0.12335526,3.1015648998977188,,759.0
1410,2010-01-04,2010-03-31,14.91,12.23,201001-201004,-0.17974514,2.5794366008664666,loser,851.0
1417,2010-01-04,2010-03-31,10.22,9.88,201001-201004,-0.0332681,3.9357049196203393,,461.0
1418,2010-01-04,2010-03-31,13.8,13.45,201001-201004,-0.02536232,4.008906555515208,,432.0
