combination,remark,count,mean_return2
201001-201004,loser,89,-0.03354303649823929
201001-201004,winner,87,-0.01122950949714706
201001-201004,winner - loser,-,0.02231352700109223
201002-201005,loser,82,-0.060502766500663524
201002-201005,winner,83,0.014343612759332413
201002-201005,winner - loser,-,0.07484637925999593
201003-201006,loser,88,-0.013850717579492043
201003-201006,winner,87,0.09137921872544337
201003-201006,winner - loser,-,0.1052299363049354
201004-201007,loser,94,0.037879395352796136
201004-201007,winner,94,0.14386069286668662
201004-201007,winner - loser,-,0.10598129751389049
201005-201008,loser,89,-0.026146204651088856
201005-201008,winner,91,0.0502810610563948
201005-201008,winner - loser,-,0.07642726570748365
201006-201009,loser,90,0.003926411182081871
201006-201009,winner,91,-0.01930721898167699
201006-201009,winner - loser,-,-0.023233630163758862
201007-201010,loser,92,-0.11469819361954972
201007-201010,winner,93,-0.041895994024653736
201007-201010,winner - loser,-,0.07280219959489598
201008-201011,loser,95,-0.026311697566394007
201008-201011,winner,96,0.048710381586557015
201008-201011,winner - loser,-,0.07502207915295102
201009-201012,loser,96,0.00033133372784742085
201009-201012,winner,97,0.03417574436533546
201009-201012,winner - loser,-,0.03384441063748804
201010-201101,loser,99,-0.12403639393729843
201010-201101,winner,99,0.01703552859973262
201010-201101,winner - loser,-,0.14107192253703105
201011-201102,loser,96,-0.12013820303468753
201011-201102,winner,96,-0.03379022045387054
201011-201102,winner - loser,-,0.086347982580817
201012-201103,loser,101,-0.22528667953530537
201012-201103,winner,101,-0.19824903719529818
201012-201103,winner - loser,-,0.02703764234000719
201101-201104,loser,109,-0.19766270432272684
201101-201104,winner,109,-0.29171458278848167
201101-201104,winner - loser,-,-0.09405187846575483
201102-201105,loser,106,-0.25204174402989044
201102-201105,winner,108,-0.1584515866851986
201102-201105,winner - loser,-,0.09359015734469184
201103-201106,loser,106,-0.40823787144221196
201103-201106,winner,107,-0.24435857615582401
201103-201106,winner - loser,-,0.16387929528638795
201104-201107,loser,107,-0.34263048178931454
201104-201107,winner,109,-0.2177453762219157
201104-201107,winner - loser,-,0.12488510556739885
201105-201108,loser,108,-0.22791066409996508
201105-201108,winner,108,-0.19565231806524835
201105-201108,winner - loser,-,0.03225834603471672
201106-201109,loser,107,0.15438287019558525
201106-201109,winner,107,0.015602530179932387
201106-201109,winner - loser,-,-0.13878034001565287
201107-201110,loser,104,0.1930219087690532
201107-201110,winner,102,0.1348954347021215
201107-201110,winner - loser,-,-0.058126474066931694
201108-201111,loser,98,0.057228189185292516
201108-201111,winner,97,-0.02678157132793187
201108-201111,winner - loser,-,-0.08400976051322438
201109-201112,loser,94,0.13947660984701027
201109-201112,winner,93,0.06262861321364475
201109-201112,winner - loser,-,-0.07684799663336551
201110-201201,loser,94,0.15098778216192324
201110-201201,winner,93,0.07951270458160511
201110-201201,winner - loser,-,-0.07147507758031812
201111-201202,loser,90,-0.098474032994448
201111-201202,winner,91,0.027315999547579
201111-201202,winner - loser,-,0.125790032542027
201112-201203,loser,86,-0.04511235282568674
201112-201203,winner,87,-0.1780146207215508
201112-201203,winner - loser,-,-0.13290226789586407
201201-201204,loser,88,-0.006410035055702464
201201-201204,winner,89,-0.04803807429932287
201201-201204,winner - loser,-,-0.04162803924362041
201202-201205,loser,101,-0.1263486456170772
201202-201205,winner,101,-0.06136543722715852
201202-201205,winner - loser,-,0.06498320838991868
201203-201206,loser,104,-0.03063968300833279
201203-201206,winner,103,0.050951388864598685
201203-201206,winner - loser,-,0.08159107187293148
201204-201207,loser,97,-0.0076971970132824275
201204-201207,winner,97,0.07802846699640802
201204-201207,winner - loser,-,0.08572566400969045
201205-201208,loser,94,0.03883037312994125
201205-201208,winner,95,0.10058571834924372
201205-201208,winner - loser,-,0.061755345219302475
201206-201209,loser,92,0.02464262942250348
201206-201209,winner,92,0.13077400128183836
201206-201209,winner - loser,-,0.10613137185933488
201207-201210,loser,93,0.09255099768804745
201207-201210,winner,93,0.14645701023554625
201207-201210,winner - loser,-,0.0539060125474988
201208-201211,loser,95,0.2798066349112997
201208-201211,winner,95,0.22243330727694732
201208-201211,winner - loser,-,-0.05737332763435238
201209-201212,loser,99,0.2224013601161301
201209-201212,winner,99,0.24707034689332855
201209-201212,winner - loser,-,0.02466898677719845
201210-201301,loser,97,0.04117233189524435
201210-201301,winner,97,0.13576968310478382
201210-201301,winner - loser,-,0.09459735120953947
201211-201302,loser,92,0.027270396576262634
201211-201302,winner,92,0.03154021498220152
201211-201302,winner - loser,-,0.004269818405938885
201212-201303,loser,98,0.010467001539969517
201212-201303,winner,96,0.07295456821015976
201212-201303,winner - loser,-,0.062487566670190245
201301-201304,loser,101,0.007424735436688456
201301-201304,winner,100,0.1923350716214172
201301-201304,winner - loser,-,0.18491033618472874
201302-201305,loser,103,0.06133953783442394
201302-201305,winner,103,0.16790083000706973
201302-201305,winner - loser,-,0.10656129217264579
201303-201306,loser,106,0.028604365677287084
201303-201306,winner,105,0.08365629777886771
201303-201306,winner - loser,-,0.05505193210158063
201304-201307,loser,107,0.029876671971435582
201304-201307,winner,107,0.17509642356526034
201304-201307,winner - loser,-,0.14521975159382475
201305-201308,loser,110,0.09788359893217367
201305-201308,winner,109,0.11898405766411115
201305-201308,winner - loser,-,0.02110045873193747
201306-201309,loser,110,0.13626834683173228
201306-201309,winner,110,0.3109637869770758
201306-201309,winner - loser,-,0.1746954401453435
201307-201310,loser,110,0.1583495451968353
201307-201310,winner,110,0.32789963887824974
201307-201310,winner - loser,-,0.16955009368141444
201308-201311,loser,112,0.16325418761526397
201308-201311,winner,112,0.19813961978847325
201308-201311,winner - loser,-,0.034885432173209274
201309-201312,loser,114,0.2540580781722137
201309-201312,winner,113,0.25398796802956497
201309-201312,winner - loser,-,-7.011014264873827e-05
201310-201401,loser,116,0.21478100373198367
201310-201401,winner,116,0.18911084548539106
201310-201401,winner - loser,-,-0.025670158246592606
201311-201402,loser,116,0.14569214057349225
201311-201402,winner,116,0.1977821952948882
201311-201402,winner - loser,-,0.05209005472139594
201312-201403,loser,117,-0.017764887937286564
201312-201403,winner,118,0.010593966782871536
201312-201403,winner - loser,-,0.028358854720158103
201401-201404,loser,121,-0.06871145349040937
201401-201404,winner,123,0.008467551953104441
201401-201404,winner - loser,-,0.07717900544351382
201402-201405,loser,122,-0.10411912578939125
201402-201405,winner,122,-0.05403125195495954
201402-201405,winner - loser,-,0.050087873834431716
201403-201406,loser,125,-0.14580469058075227
201403-201406,winner,125,-0.09379888700837942
201403-201406,winner - loser,-,0.05200580357237285
201404-201407,loser,127,-0.09416167690247113
201404-201407,winner,127,-0.07713853491004075
201404-201407,winner - loser,-,0.01702314199243038
201405-201408,loser,125,-0.07064480206262182
201405-201408,winner,124,-0.06115929897551704
201405-201408,winner - loser,-,0.009485503087104774
201406-201409,loser,128,-0.012039127631363488
201406-201409,winner,129,-0.004976154124927961
201406-201409,winner - loser,-,0.0070629735064355265
201407-201410,loser,130,0.06290988210810451
201407-201410,winner,130,0.04837977809522249
201407-201410,winner - loser,-,-0.014530104012882024
201408-201411,loser,128,0.11924785305427145
201408-201411,winner,127,0.14603063481352752
201408-201411,winner - loser,-,0.026782781759256066
201409-201412,loser,128,0.07510920279819153
201409-201412,winner,129,0.10307578248569008
201409-201412,winner - loser,-,0.02796657968749855
201410-201501,loser,125,-0.08448388570383411
201410-201501,winner,126,0.007752590913525666
201410-201501,winner - loser,-,0.09223647661735977
201411-201502,loser,126,-0.1792704967748848
201411-201502,winner,125,-0.09702623196931517
201411-201502,winner - loser,-,0.08224426480556962
201412-201503,loser,129,-0.2257355869651074
201412-201503,winner,129,-0.20334658897109548
201412-201503,winner - loser,-,0.022388997994011922
201501-201504,loser,133,-0.24193265184523632
201501-201504,winner,133,-0.07639521435912386
201501-201504,winner - loser,-,0.16553743748611247
201502-201505,loser,132,-0.16850987484907884
201502-201505,winner,133,-0.002554894242793779
201502-201505,winner - loser,-,0.16595498060628505
201503-201506,loser,133,-0.06772318353866229
201503-201506,winner,133,-0.05207630670056189
201503-201506,winner - loser,-,0.0156468768381004
201504-201507,loser,133,-0.03075514925134303
201504-201507,winner,133,-0.02243658027156168
201504-201507,winner - loser,-,0.008318568979781348
201505-201508,loser,132,0.11532070824091614
201505-201508,winner,129,0.12760872882028085
201505-201508,winner - loser,-,0.012288020579364706
201506-201509,loser,128,0.29194582102552824
201506-201509,winner,126,0.15991859068871542
201506-201509,winner - loser,-,-0.13202723033681282
201507-201510,loser,125,0.10619070794278906
201507-201510,winner,124,0.19913302678615197
201507-201510,winner - loser,-,0.0929423188433629
201508-201511,loser,115,-0.025142230135649254
201508-201511,winner,117,0.043424022924656136
201508-201511,winner - loser,-,0.0685662530603054
201509-201512,loser,117,-0.040643730066935425
201509-201512,winner,118,0.019940916516704568
201509-201512,winner - loser,-,0.06058464658363999
201510-201601,loser,121,0.030963848066008118
201510-201601,winner,123,0.060375722873388715
201510-201601,winner - loser,-,0.029411874807380597
201511-201602,loser,121,0.07121846889405088
201511-201602,winner,121,0.11572287937868347
201511-201602,winner - loser,-,0.04450441048463259
201512-201603,loser,121,-0.04549856170829657
201512-201603,winner,120,0.06507367586872835
201512-201603,winner - loser,-,0.11057223757702492
201601-201604,loser,119,0.014761267286249912
201601-201604,winner,119,0.06465340561694781
201601-201604,winner - loser,-,0.049892138330697895
201602-201605,loser,120,0.06816877916861296
201602-201605,winner,122,0.07844376730751466
201602-201605,winner - loser,-,0.010274988138901708
201603-201606,loser,126,-0.014346707204997953
201603-201606,winner,128,0.005237444964118476
201603-201606,winner - loser,-,0.01958415216911643
201604-201607,loser,126,-0.00501836380830514
201604-201607,winner,126,0.014404716393442249
201604-201607,winner - loser,-,0.01942308020174739
201605-201608,loser,122,-0.03019106435549769
201605-201608,winner,123,0.02485621514596042
201605-201608,winner - loser,-,0.05504727950145811
201606-201609,loser,125,-0.03472773686123684
201606-201609,winner,125,0.06957649070394817
201606-201609,winner - loser,-,0.10430422756518501
201607-201610,loser,130,0.007814195678064784
201607-201610,winner,130,0.06819534613712956
201607-201610,winner - loser,-,0.06038115045906478
201608-201611,loser,132,0.08658825110702077
201608-201611,winner,132,0.1681316410544079
201608-201611,winner - loser,-,0.08154338994738712
201609-201612,loser,133,0.059903573553926746
201609-201612,winner,132,0.1969941838934796
201609-201612,winner - loser,-,0.13709061033955286
201610-201701,loser,134,0.1296976009408399
201610-201701,winner,133,0.17892702453905696
201610-201701,winner - loser,-,0.049229423598217054
201611-201702,loser,131,0.0931766935095593
201611-201702,winner,132,0.1795187388492886
201611-201702,winner - loser,-,0.08634204533972929
201612-201703,loser,134,0.02956863108059395
201612-201703,winner,134,0.18936048653812032
201612-201703,winner - loser,-,0.15979185545752636
201701-201704,loser,136,0.01138746848867165
201701-201704,winner,136,0.14907975216326416
201701-201704,winner - loser,-,0.13769228367459252
201702-201705,loser,138,0.05631052023353722
201702-201705,winner,139,0.18426939543634033
201702-201705,winner - loser,-,0.1279588752028031
201703-201706,loser,140,0.08679298795728513
201703-201706,winner,141,0.14629249006678993
201703-201706,winner - loser,-,0.059499502109504804
201704-201707,loser,140,0.033816048422615576
201704-201707,winner,140,0.10814650165422975
201704-201707,winner - loser,-,0.07433045323161416
201705-201708,loser,141,0.004866794735179553
201705-201708,winner,141,0.10716451907196231
201705-201708,winner - loser,-,0.10229772433678276
201706-201709,loser,142,-0.026718537295010652
201706-201709,winner,142,0.0955249474369721
201706-201709,winner - loser,-,0.12224348473198275
201707-201710,loser,142,0.05338833069401495
201707-201710,winner,142,0.04566500354667528
201707-201710,winner - loser,-,-0.00772332714733967
201708-201711,loser,144,-0.017739664981830487
201708-201711,winner,144,-0.005539372565700026
201708-201711,winner - loser,-,0.012200292416130461
201709-201712,loser,147,0.0032279602750334676
201709-201712,winner,147,0.1011745532186813
201709-201712,winner - loser,-,0.09794659294364783
201710-201801,loser,148,-0.011487378230642904
201710-201801,winner,146,0.1541242190297967
201710-201801,winner - loser,-,0.1656115972604396
201711-201802,loser,150,0.017826159422228677
201711-201802,winner,148,0.06541523935675533
201711-201802,winner - loser,-,0.04758907993452666
201712-201803,loser,148,-0.005561027656009216
201712-201803,winner,149,0.005266447889050008
201712-201803,winner - loser,-,0.010827475545059223
201801-201804,loser,153,-0.10130029383408229
201801-201804,winner,152,-0.13204617769899252
201801-201804,winner - loser,-,-0.03074588386491023
201802-201805,loser,150,-0.213412970954777
201802-201805,winner,149,-0.22296583935017578
201802-201805,winner - loser,-,-0.00955286839539879
201803-201806,loser,150,-0.12282610378402768
201803-201806,winner,151,-0.21673367822085515
201803-201806,winner - loser,-,-0.09390757443682747
201804-201807,loser,150,-0.1516968087242699
201804-201807,winner,152,-0.2507804317120337
201804-201807,winner - loser,-,-0.09908362298776377
201805-201808,loser,150,-0.1160954723359936
201805-201808,winner,152,-0.1765468494593799
201805-201808,winner - loser,-,-0.0604513771233863
201806-201809,loser,154,-0.06879522209635551
201806-201809,winner,153,-0.011609607907723469
201806-201809,winner - loser,-,0.05718561418863204
201807-201810,loser,152,-0.0017224036729577151
201807-201810,winner,151,0.07905491324981448
201807-201810,winner - loser,-,0.0807773169227722
201808-201811,loser,152,0.23246605593533523
201808-201811,winner,151,0.18018794725032666
201808-201811,winner - loser,-,-0.05227810868500857
201809-201812,loser,151,-0.0003661610156671778
201809-201812,winner,152,0.07824345092200678
201809-201812,winner - loser,-,0.07860961193767396
201810-201901,loser,147,0.10515393308302953
201810-201901,winner,147,0.12655898227630627
201810-201901,winner - loser,-,0.021405049193276737
201811-201902,loser,143,0.025863246417971678
201811-201902,winner,145,0.1423452631794022
201811-201902,winner - loser,-,0.11648201676143051
201812-201903,loser,148,-0.035596832372221394
201812-201903,winner,148,0.14550352741970707
201812-201903,winner - loser,-,0.18110035979192846
201901-201904,loser,148,-0.015344363239222046
201901-201904,winner,148,0.033045037172647146
201901-201904,winner - loser,-,0.04838940041186919
201902-201905,loser,150,-0.029574425919139228
201902-201905,winner,151,0.07796660686346756
201902-201905,winner - loser,-,0.10754103278260678
201903-201906,loser,151,0.09830198365164163
201903-201906,winner,152,0.11987478284671386
201903-201906,winner - loser,-,0.02157279919507224
