combination,remark,count,mean_return2
201001-201007,loser,88,0.07503308230341557
201001-201007,winner,88,0.10383479076038049
201002-201008,loser,81,-0.07019638935083572
201002-201008,winner,83,0.0070679494052696525
201003-201009,loser,85,-0.03872407959815347
201003-201009,winner,88,0.03270137539856502
201004-201010,loser,95,-0.07305060615520309
201004-201010,winner,94,-0.006972539832302466
201005-201011,loser,91,0.011199452182131864
201005-201011,winner,91,0.020197975178667667
201006-201012,loser,90,0.0644298745763565
201006-201012,winner,90,-0.020721191837195483
201007-201101,loser,92,-0.021929822319091217
201007-201101,winner,93,-0.02553907216910845
201008-201102,loser,95,-0.033490489072703016
201008-201102,winner,96,0.03176445030231608
201009-201103,loser,96,-0.05264450459368167
201009-201103,winner,97,0.02627892066099317
201010-201104,loser,99,-0.06842161939721449
201010-201104,winner,99,-0.05104154086228224
201011-201105,loser,95,-0.11023618584402946
201011-201105,winner,96,0.00403937027697546
201012-201106,loser,101,-0.24674903402143167
201012-201106,winner,101,-0.11211041597171095
201101-201107,loser,109,-0.23478903907251425
201101-201107,winner,109,-0.18530167471183562
201102-201108,loser,108,-0.195429109400315
201102-201108,winner,108,-0.1719979023317223
201103-201109,loser,106,-0.21201651451114184
201103-201109,winner,106,-0.15509261510358882
201104-201110,loser,107,-0.08161834877637265
201104-201110,winner,108,-0.010417713131275477
201105-201111,loser,106,0.001761801798353499
201105-201111,winner,107,-0.034516686147669125
201106-201112,loser,106,0.4739683965038395
201106-201112,winner,106,0.11521701674236931
201107-201201,loser,104,0.35216490742583884
201107-201201,winner,104,0.16786961279885027
201108-201202,loser,99,-0.014353371249471331
201108-201202,winner,98,0.04260952562331177
201109-201203,loser,93,-0.16048447708300043
201109-201203,winner,92,-0.1431568139596803
201110-201204,loser,94,-0.08351531779773448
201110-201204,winner,93,-0.09511765081339993
201111-201205,loser,92,-0.07676652767212255
201111-201205,winner,92,-0.04613755702039129
201112-201206,loser,87,0.01409679424950232
201112-201206,winner,87,0.030081764814603534
201201-201207,loser,89,0.04146629649235238
201201-201207,winner,89,0.05884373078712336
201202-201208,loser,99,-0.08613319074858863
201202-201208,winner,100,-0.002510065521008184
201203-201209,loser,104,-0.08673718843008006
201203-201209,winner,104,-0.0030388103406458777
201204-201210,loser,98,-0.05646246788465141
201204-201210,winner,97,0.017271998703546378
201205-201211,loser,93,0.2477473488134245
201205-201211,winner,94,0.1543613242222612
201206-201212,loser,91,0.1450475218267054
201206-201212,winner,91,0.19762155645158397
201207-201301,loser,94,0.11462945929462062
201207-201301,winner,94,0.15487909822195073
201208-201302,loser,95,0.027003924406232508
201208-201302,winner,95,0.11615746346248011
201209-201303,loser,100,0.050640046255610714
201209-201303,winner,100,0.09496907257452145
201210-201304,loser,97,-0.05520138418432472
201210-201304,winner,97,0.11044260246451143
201211-201305,loser,93,0.012907747965020094
201211-201305,winner,94,0.09107756500299267
201212-201306,loser,98,-0.040771445366561354
201212-201306,winner,98,0.0429991626212615
201301-201307,loser,101,0.015443198641313544
201301-201307,winner,101,0.08373127633638675
