combination,remark,count,mean_return2
201001-201010,loser,87,-0.32668276717977107
201001-201010,winner,87,-0.22397483087657666
201001-201010,winner - loser,-,0.10270793630319441
201002-201011,loser,82,-0.25954076734081355
201002-201011,winner,82,-0.144537109559552
201002-201011,winner - loser,-,0.11500365778126154
201003-201012,loser,88,-0.29611349943447385
201003-201012,winner,87,-0.29505255216747667
201003-201012,winner - loser,-,0.001060947266997181
201004-201101,loser,91,-0.4048311569668042
201004-201101,winner,94,-0.26956764115533177
201004-201101,winner - loser,-,0.13526351581147245
201005-201102,loser,90,-0.35985163928001956
201005-201102,winner,90,-0.1716215618137896
201005-201102,winner - loser,-,0.18823007746622997
201006-201103,loser,88,-0.16249486057123289
201006-201103,winner,90,-0.14411757089738395
201006-201103,winner - loser,-,0.01837728967384894
201007-201104,loser,91,-0.19235582650137537
201007-201104,winner,91,-0.11982229300090079
201007-201104,winner - loser,-,0.07253353350047458
201008-201105,loser,95,-0.28443324694130134
201008-201105,winner,96,-0.16328242953326985
201008-201105,winner - loser,-,0.12115081740803149
201009-201106,loser,97,-0.3163249820334953
201009-201106,winner,96,-0.19631864935785157
201009-201106,winner - loser,-,0.12000633267564373
201010-201107,loser,97,-0.2852625265176131
201010-201107,winner,97,-0.18508103634879758
201010-201107,winner - loser,-,0.1001814901688155
201011-201108,loser,96,-0.26254273538699024
201011-201108,winner,96,-0.2003623663636593
201011-201108,winner - loser,-,0.062180369023330934
201012-201109,loser,101,-0.06108221701118173
201012-201109,winner,100,-0.050336778896624156
201012-201109,winner - loser,-,0.010745438114557575
201101-201110,loser,108,0.029867511307971203
201101-201110,winner,108,0.14085825451311662
201101-201110,winner - loser,-,0.11099074320514542
201102-201111,loser,106,-0.180375141610224
201102-201111,winner,106,-0.022689387228990908
201102-201111,winner - loser,-,0.15768575438123308
201103-201112,loser,105,-0.01621750170824691
201103-201112,winner,104,0.12250651537842128
201103-201112,winner - loser,-,0.13872401708666818
201104-201201,loser,107,0.02887784041886047
201104-201201,winner,107,0.2237866278731119
201104-201201,winner - loser,-,0.19490878745425144
201105-201202,loser,105,0.01591806418283732
201105-201202,winner,105,0.1130997596587912
201105-201202,winner - loser,-,0.09718169547595387
201106-201203,loser,105,-0.15425501583666582
