stock_id,year_month,mean_market_value,rank
1101,2010-01,100640473109.66,42.0
1102,2010-01,92514047000.616,46.0
1103,2010-01,11117782954.492,276.0
1104,2010-01,9979796893.212,300.0
1108,2010-01,3126229069.48,572.0
1109,2010-01,4207195314.92,505.0
1110,2010-01,6793539065.848,385.0
1201,2010-01,18312392606.032,170.0
1203,2010-01,5618001211.196,428.0
1210,2010-01,14915599193.84,212.0
1213,2010-01,945177843.98,745.0
1215,2010-01,3989887100.92,514.0
1216,2010-01,151787215300.36,28.0
1217,2010-01,5769460992.844,422.0
1218,2010-01,5031740673.596,462.0
1219,2010-01,3625744145.968,543.0
1220,2010-01,2012738742.672,655.0
1225,2010-01,2486448454.436,614.0
1227,2010-01,23830317464.512,126.0
1229,2010-01,15258914685.136,206.0
1231,2010-01,2359764538.8,624.0
1232,2010-01,6682600129.48,388.0
1233,2010-01,4276320431.784,501.0
1234,2010-01,12784323234.488,241.0
1235,2010-01,2139386405.5060728,642.0
1236,2010-01,2068541788.904,649.0
1301,2010-01,455987805581.828,8.0
1303,2010-01,495929193329.44,6.0
1304,2010-01,18475587128.432,168.0
1305,2010-01,5000226390.98,463.0
1307,2010-01,10774789797.484,282.0
1308,2010-01,8580016511.876,338.0
1309,2010-01,3456671360.072,552.0
1310,2010-01,8622231875.492,336.0
1312,2010-01,13447306841.38,226.0
1312A,2010-01,435145748.98785424,768.0
1313,2010-01,19396257497.796,158.0
1314,2010-01,33860181881.08,102.0
1315,2010-01,5125472000.0,454.0
1316,2010-01,738756626.076,754.0
1319,2010-01,24335706385.216,121.0
1321,2010-01,5079415257.212,458.0
1323,2010-01,1704543051.492,681.0
1324,2010-01,1534229220.5,698.0
1325,2010-01,2228488471.788,632.0
1326,2010-01,439320381603.568,10.0
1402,2010-01,181759798051.036,22.0
1409,2010-01,19465308087.244,156.0
1410,2010-01,1550952000.0,694.0
1413,2010-01,4212070668.988,504.0
1414,2010-01,1582935200.0,690.0
1416,2010-01,5080426208.226891,457.0
1417,2010-01,3804383101.72,529.0
1418,2010-01,1508703268.448,703.0
1419,2010-01,11689548260.544,268.0
1423,2010-01,1444996000.0,712.0
1432,2010-01,922106034.0913979,748.0
1434,2010-01,42432659010.916,82.0
1435,2010-01,964991351.508,743.0
1436,2010-01,2883685200.0,588.0
1437,2010-01,4385980419.292,493.0
1438,2010-01,231300440.86516854,777.0
1439,2010-01,3724086400.0,537.0
1440,2010-01,23530751402.512,130.0
1441,2010-01,607180573.3263599,759.0
1442,2010-01,3530234599.652,549.0
1443,2010-01,1015361544.0,740.0
1444,2010-01,10195539001.2,297.0
1445,2010-01,1222732108.72,729.0
1446,2010-01,2191595030.832,634.0
1447,2010-01,9803573937.3,304.0
1449,2010-01,631405645.336,758.0
1451,2010-01,11295462509.130802,273.0
1452,2010-01,1592115134.412,688.0
1453,2010-01,448203468.0,767.0
1454,2010-01,1057081034.628,738.0
1455,2010-01,7121064303.356,378.0
1456,2010-01,309408971.7741935,776.0
1457,2010-01,2265739144.36,630.0
1459,2010-01,3935627489.28,520.0
1460,2010-01,3135292490.968,571.0
1463,2010-01,1840094934.404,674.0
1464,2010-01,1854852592.816,671.0
1465,2010-01,1221975186.884,730.0
1466,2010-01,1327690260.848,720.0
1467,2010-01,1801249484.828,676.0
1468,2010-01,2567767145.964,607.0
1469,2010-01,1531916147.5409837,699.0
1470,2010-01,881827126.2753036,750.0
1471,2010-01,4945034573.264,465.0
1472,2010-01,511098000.0,763.0
1473,2010-01,5722330046.356,424.0
1474,2010-01,1289660321.416,724.0
1475,2010-01,646962482.356,757.0
1476,2010-01,5553229088.52,430.0
1477,2010-01,10786472302.64,281.0
1503,2010-01,19416009584.608,157.0
1504,2010-01,28094107277.936,117.0
1506,2010-01,1842032788.235294,673.0
1507,2010-01,13612931520.0,225.0
1512,2010-01,1594240614.072,687.0
1513,2010-01,8643168000.0,334.0
1514,2010-01,2500871507.74,612.0
1515,2010-01,2433962701.376,618.0
1516,2010-01,973957053.904,742.0
1517,2010-01,3097290083.216,576.0
1519,2010-01,6179335399.9,409.0
1521,2010-01,4327302672.0,498.0
1522,2010-01,6073502926.96,413.0
1523,2010-01,5233382334.761291,448.0
1524,2010-01,1951287106.884,661.0
1525,2010-01,3416067401.056,556.0
1526,2010-01,419255065.3164557,770.0
1527,2010-01,4853669315.84,474.0
1528,2010-01,1764287032.676,679.0
1529,2010-01,1307528535.932,722.0
1530,2010-01,3210167253.028,570.0
1531,2010-01,4881661765.704,470.0
1532,2010-01,11509446262.9,270.0
1533,2010-01,2354555550.36,625.0
1535,2010-01,5434483306.564,433.0
1536,2010-01,2802966595.632,596.0
1537,2010-01,3754111269.64,534.0
1538,2010-01,5927417397.216,419.0
1539,2010-01,601763666.2650602,760.0
1540,2010-01,2476426960.488,615.0
1541,2010-01,1486559456.36,705.0
1560,2010-01,6231607800.0,401.0
1582,2010-01,8884657164.3,325.0
1583,2010-01,3243837257.6586347,565.0
1590,2010-12,22869999695.066666,133.0
1603,2010-01,3973226712.0,515.0
1604,2010-01,4530565533.75,486.0
1605,2010-01,45886776020.9,75.0
1608,2010-01,7120448397.436,379.0
1609,2010-01,4939178248.144,466.0
1611,2010-01,9564391025.748,307.0
1612,2010-01,4622977630.316,482.0
1613,2010-01,1094141725.44,736.0
1614,2010-01,10243975929.7,294.0
1615,2010-01,1544941978.036,695.0
1616,2010-01,1351545472.336,718.0
1617,2010-01,1251392626.752,727.0
1618,2010-01,4648548096.316,480.0
1701,2010-01,7083181471.608,380.0
1702,2010-01,10912391716.848,280.0
1704,2010-01,34240651193.916,101.0
1707,2010-01,5978022759.072,416.0
1708,2010-01,5317302904.084,442.0
1709,2010-01,5066775266.284,460.0
1710,2010-01,22248538019.7,137.0
1711,2010-01,12370982806.8,251.0
1712,2010-01,4904253340.788,468.0
1713,2010-01,1873521929.38,667.0
1714,2010-01,10737525887.452,284.0
1715,2010-01,4710012193.148,477.0
1716,2010-01,9200819709.495869,318.0
