date,stock_id,open,max,min,close,ret
2005-01-31,TAIEX,5905.3,6002.37,5900.37,5994.23,
2005-02-28,TAIEX,6195.24,6233.53,6192.38,6207.83,0.035634268288003756
2005-03-31,TAIEX,6005.87,6017.04,5995.27,6005.88,-0.03253149651327436
2005-04-30,TAIEX,5810.34,5818.07,5780.97,5818.07,-0.03127102106602209
2005-05-31,TAIEX,5998.9,6026.53,5981.24,6011.56,0.033256732902835706
2005-06-30,TAIEX,6278.75,6280.53,6240.84,6241.94,0.038322831344941966
2005-07-31,TAIEX,6409.56,6420.64,6310.63,6311.98,0.011220870434512253
2005-08-31,TAIEX,6041.86,6078.17,5976.4,6033.47,-0.044124030811250825
2005-09-30,TAIEX,6053.59,6118.61,6047.2,6118.61,0.014111282562107696
2005-10-31,TAIEX,5692.82,5774.61,5681.2,5764.3,-0.05790694291677345
2005-11-30,TAIEX,6172.96,6206.45,6171.38,6203.47,0.07618791527158542
2005-12-31,TAIEX,6589.84,6600.17,6548.34,6548.34,0.05559307935719837
2006-01-31,TAIEX,6500.63,6536.89,6477.34,6532.18,-0.0024678009999480333
2006-02-28,TAIEX,6496.55,6567.91,6481.99,6561.63,0.004508448940476306
2006-03-31,TAIEX,6564.86,6632.63,6564.86,6613.97,0.007976676527021498
2006-04-30,TAIEX,7172.31,7184.37,7103.87,7171.77,0.08433663896268051
2006-05-31,TAIEX,6910.3,6912.95,6829.4,6846.95,-0.04529146919100868
2006-06-30,TAIEX,6731.07,6731.07,6682.38,6704.41,-0.020818028465229066
2006-07-31,TAIEX,6528.23,6531.11,6428.26,6454.58,-0.0372635325106907
2006-08-31,TAIEX,6647.67,6667.62,6611.77,6611.77,0.024353249940352484
2006-09-30,TAIEX,6887.39,6903.72,6860.52,6883.05,0.041029860385343175
2006-10-31,TAIEX,7020.35,7025.21,7004.15,7021.32,0.020088478218231565
2006-11-30,TAIEX,7527.47,7567.72,7500.24,7567.72,0.07782012499074265
2006-12-31,TAIEX,7747.62,7823.72,7747.62,7823.72,0.03382789003821496
2007-01-31,TAIEX,7759.79,7778.69,7637.54,7699.64,-0.015859463273225516
2007-02-28,TAIEX,7908.79,7939.5,7881.92,7901.96,0.02627655318949973
2007-03-31,TAIEX,7877.75,7888.82,7839.91,7884.41,-0.002220967962379028
2007-04-30,TAIEX,7956.03,7956.03,7843.05,7875.42,-0.0011402248234173573
2007-05-31,TAIEX,8204.72,8220.81,8144.95,8144.95,0.03422420645502089
2007-06-30,TAIEX,8932.18,8932.95,8849.04,8883.21,0.0906402126471002
2007-07-31,TAIEX,9211.8,9307.81,9173.48,9287.25,0.04548355830831441
2007-08-31,TAIEX,8807.7,8982.16,8785.7,8982.16,-0.03285041320089377
2007-09-30,TAIEX,9458.67,9482.37,9424.71,9476.52,0.05503798640861457
2007-10-31,TAIEX,9777.58,9787.9,9664.64,9711.37,0.02478230405254256
2007-11-30,TAIEX,8499.23,8590.63,8499.23,8586.4,-0.11584050448083028
2007-12-31,TAIEX,8450.32,8506.28,8414.79,8506.28,-0.009331035125314302
2008-01-31,TAIEX,7528.18,7579.43,7400.74,7521.13,-0.11581443357143195
2008-02-29,TAIEX,8367.45,8473.71,8367.45,8412.76,0.11855000511891167
2008-03-31,TAIEX,8605.9,8627.53,8499.03,8572.59,0.01899852129384416
2008-04-30,TAIEX,8917.62,8962.99,8882.57,8919.92,0.04051634336880694
2008-05-31,TAIEX,8762.3,8765.99,8548.32,8619.08,-0.03372675988125451
2008-06-30,TAIEX,7602.51,7604.42,7479.21,7523.54,-0.1271063733020229
2008-07-31,TAIEX,7135.04,7172.48,6965.08,7024.06,-0.06638896051592724
2008-08-31,TAIEX,7092.85,7111.7,7021.32,7046.11,0.003139210086473998
2008-09-30,TAIEX,5534.72,5719.28,5534.72,5719.28,-0.1883067394633351
2008-10-31,TAIEX,4707.75,4911.8,4659.67,4870.66,-0.1483788169140171
2008-11-30,TAIEX,4444.37,4476.33,4419.03,4460.49,-0.08421240653217432
2008-12-31,TAIEX,4627.98,4627.98,4537.52,4591.22,0.02930843920735171
2009-01-31,TAIEX,4164.68,4265.33,4164.19,4247.97,-0.07476226362491889
2009-02-28,TAIEX,4523.56,4564.32,4507.39,4557.15,0.07278299987994252
2009-03-31,TAIEX,5214.96,5286.45,5194.93,5210.84,0.14344272187661167
2009-04-30,TAIEX,5964.03,5995.12,5932.03,5992.57,0.15001995839442395
2009-05-31,TAIEX,6800.56,6930.59,6743.39,6890.44,0.14983054015222175
2009-06-30,TAIEX,6485.33,6503.98,6381.42,6432.16,-0.06650954075501703
2009-07-31,TAIEX,7111.15,7132.11,7044.7,7077.71,0.100362864107858
2009-08-31,TAIEX,6844.91,6848.96,6760.05,6825.95,-0.035570827287357054
2009-09-30,TAIEX,7456.57,7534.55,7443.88,7509.17,0.10009156234663319
2009-10-31,TAIEX,7428.72,7433.21,7340.08,7340.08,-0.02251780156794958
2009-11-30,TAIEX,7582.69,7604.55,7569.24,7582.21,0.03298737888415393
2009-12-31,TAIEX,8155.17,8188.8,8138.58,8188.11,0.07991073842586793
2010-01-31,TAIEX,7593.38,7649.73,7481.9,7640.44,-0.06688600910344389
2010-02-28,TAIEX,7451.17,7479.28,7383.68,7436.1,-0.026744533037364238
2010-03-31,TAIEX,7962.91,7974.89,7920.06,7920.06,0.06508250292492024
2010-04-30,TAIEX,8116.39,8163.94,7999.28,8004.25,0.010629969974974784
2010-05-31,TAIEX,7312.26,7373.98,7292.54,7373.98,-0.07874191835587352
2010-06-30,TAIEX,7277.39,7337.32,7255.09,7329.37,-0.006049650256713446
2010-07-31,TAIEX,7765.25,7781.24,7731.19,7760.63,0.05883998215399133
2010-08-31,TAIEX,7669.31,7687.47,7577.1,7616.28,-0.018600294048292554
2010-09-30,TAIEX,8259.24,8267.55,8204.84,8237.78,0.08160151675095983
2010-10-31,TAIEX,8348.39,8348.39,8278.72,8287.09,0.005985835989793298
2010-11-30,TAIEX,8384.64,8443.38,8363.97,8372.48,0.010303978839375283
2010-12-31,TAIEX,8936.11,8990.38,8932.64,8972.5,0.07166574300565665
2011-01-31,TAIEX,9102.33,9154.93,9095.71,9145.35,0.019264419058233617
2011-02-28,TAIEX,8597.87,8635.04,8470.09,8599.65,-0.05966966819203212
2011-03-31,TAIEX,8683.69,8685.44,8608.05,8683.3,0.009727140058025663
2011-04-30,TAIEX,9050.49,9058.78,8943.99,9007.87,0.037378646367164814
2011-05-31,TAIEX,8860.58,9003.6,8860.58,8988.84,-0.0021125970956509255
2011-06-30,TAIEX,8582.08,8652.59,8576.65,8652.59,-0.037407496406655416
2011-07-31,TAIEX,8737.72,8771.64,8638.67,8644.18,-0.0009719633080961243
2011-08-31,TAIEX,7665.22,7741.36,7602.68,7741.36,-0.10444252664798748
2011-09-30,TAIEX,7222.16,7251.87,7163.75,7225.38,-0.06665237115958944
2011-10-31,TAIEX,7637.48,7658.97,7557.05,7587.69,0.05014407546731103
2011-11-30,TAIEX,7001.59,7001.59,6860.05,6904.12,-0.09008934207907804
2011-12-31,TAIEX,7109.85,7139.03,7054.79,7072.08,0.024327502998209738
2012-01-31,TAIEX,7436.52,7517.08,7421.01,7517.08,0.06292349634053918
2012-02-29,TAIEX,8046.14,8121.44,8046.14,8121.44,0.08039823974202753
2012-03-31,TAIEX,7832.22,7933.0,7775.75,7933.0,-0.02320278177269053
2012-04-30,TAIEX,7439.22,7501.72,7422.14,7501.72,-0.054365309466784306
2012-05-31,TAIEX,7184.91,7301.5,7132.8,7301.5,-0.026689879121054916
2012-06-30,TAIEX,7183.45,7296.28,7177.59,7296.28,-0.0007149215914538098
2012-07-31,TAIEX,7140.53,7270.49,7140.53,7270.49,-0.0035346779454735744
2012-08-31,TAIEX,7363.25,7406.52,7363.25,7397.06,0.01740873036067736
2012-09-30,TAIEX,7704.23,7721.29,7665.35,7715.16,0.0430035716892927
2012-10-31,TAIEX,7220.02,7222.84,7139.17,7166.05,-0.07117285966849674
2012-11-30,TAIEX,7519.07,7590.69,7515.15,7580.17,0.057789158602019164
2012-12-31,TAIEX,7700.87,7708.31,7665.04,7699.5,0.015742391001784872
2013-01-31,TAIEX,7832.87,7850.02,7800.9,7850.02,0.01954932138450549
2013-02-28,TAIEX,7886.03,7912.85,7873.29,7897.98,0.006109538574423867
2013-03-31,TAIEX,7904.5,7931.7,7883.81,7918.61,0.0026120602989625485
2013-04-30,TAIEX,8065.92,8115.59,8065.92,8093.66,0.02210615246867831
2013-05-31,TAIEX,8318.77,8334.44,8237.08,8254.8,0.019909410575685182
2013-06-30,TAIEX,7928.54,8062.21,7891.06,8062.21,-0.023330668217279582
2013-07-31,TAIEX,8163.44,8170.57,8107.6,8107.94,0.005672142005727965
2013-08-31,TAIEX,7949.99,8021.89,7936.82,8021.89,-0.010613053377306558
2013-09-30,TAIEX,8174.86,8204.4,8137.11,8173.87,0.018945659937994686
